Airline,Source,Destination,Total_Stops,Price,Year,Total_duration,Dep_time_of_day,Arrival_time_of_day
Jet Airways,Banglore,New Delhi,1,11455,2019,1480,Morning,Morning
IndiGo,Chennai,Kolkata,0,3540,2019,165,Afternoon,Evening
Multiple carriers,Delhi,Cochin,1,15898,2019,615,Morning,Evening
Multiple carriers,Delhi,Cochin,1,9718,2019,660,Morning,Evening
GoAir,Kolkata,Banglore,1,7831,2019,455,Afternoon,Night
IndiGo,Delhi,Cochin,1,6416,2019,750,Morning,Evening
Vistara,Chennai,Kolkata,0,3739,2019,135,Morning,Morning
Vistara,Kolkata,Banglore,1,8085,2019,975,Morning,Night
IndiGo,Banglore,Delhi,0,4823,2019,180,Afternoon,Evening
Jet Airways,Delhi,Cochin,2,13376,2019,1320,Afternoon,Afternoon
Vistara,Kolkata,Banglore,1,8452,2019,865,Evening,Morning
Jet Airways,Kolkata,Banglore,1,10844,2019,1595,Evening,Night
Vistara,Delhi,Cochin,0,4851,2019,190,Morning,Morning
Multiple carriers,Delhi,Cochin,1,6795,2019,390,Evening,Night
IndiGo,Banglore,Delhi,0,4823,2019,170,Morning,Morning
Jet Airways,Delhi,Cochin,1,10577,2019,450,Evening,Night
Jet Airways,Delhi,Cochin,1,12032,2019,1375,Evening,Evening
Air Asia,Delhi,Cochin,1,9330,2019,330,Morning,Afternoon
Vistara,Kolkata,Banglore,1,8977,2019,355,Evening,Night
Multiple carriers,Delhi,Cochin,1,7005,2019,490,Afternoon,Evening
Jet Airways,Kolkata,Banglore,1,10844,2019,400,Afternoon,Evening
Multiple carriers,Delhi,Cochin,1,12192,2019,525,Night,Afternoon
Air India,Banglore,New Delhi,0,4441,2019,165,Morning,Afternoon
Multiple carriers,Delhi,Cochin,1,7575,2019,520,Morning,Evening
IndiGo,Kolkata,Banglore,0,4804,2019,155,Night,Morning
SpiceJet,Chennai,Kolkata,0,3597,2019,135,Morning,Afternoon
Air India,Kolkata,Banglore,1,10413,2019,1615,Evening,Evening
Jet Airways,Banglore,Delhi,0,8016,2019,165,Morning,Morning
Jet Airways,Kolkata,Banglore,1,10844,2019,960,Evening,Afternoon
Jet Airways,Kolkata,Banglore,1,9663,2019,1010,Afternoon,Morning
IndiGo,Delhi,Cochin,1,6069,2019,305,Evening,Night
IndiGo,Delhi,Cochin,1,6442,2019,635,Morning,Night
Multiple carriers,Delhi,Cochin,1,13587,2019,720,Morning,Evening
Air India,Mumbai,Hyderabad,0,3100,2019,75,Evening,Evening
Jet Airways,Kolkata,Banglore,1,14781,2019,705,Morning,Evening
Jet Airways,Delhi,Cochin,1,12898,2019,1270,Evening,Evening
IndiGo,Kolkata,Banglore,0,4804,2019,150,Afternoon,Afternoon
SpiceJet,Kolkata,Banglore,0,4174,2019,145,Morning,Morning
IndiGo,Banglore,Delhi,0,4591,2019,170,Night,Night
Jet Airways,Kolkata,Banglore,1,9663,2019,1640,Afternoon,Evening
Multiple carriers,Delhi,Cochin,1,8266,2019,630,Morning,Evening
IndiGo,Banglore,Delhi,0,4823,2019,175,Morning,Morning
Air India,Delhi,Cochin,0,6094,2019,185,Evening,Evening
Jet Airways,Kolkata,Banglore,1,14178,2019,450,Evening,Night
Jet Airways,Delhi,Cochin,2,13376,2019,1790,Morning,Afternoon
Air India,Mumbai,Hyderabad,0,2575,2019,80,Evening,Night
Vistara,Mumbai,Hyderabad,1,12395,2019,745,Morning,Evening
IndiGo,Delhi,Cochin,1,10351,2019,710,Morning,Evening
Air Asia,Kolkata,Banglore,1,5192,2019,955,Morning,Night
Multiple carriers,Delhi,Cochin,1,7670,2019,490,Afternoon,Evening
Jet Airways,Kolkata,Banglore,1,14151,2019,1295,Evening,Evening
IndiGo,Kolkata,Banglore,1,4775,2019,290,Afternoon,Evening
Air India,Delhi,Cochin,2,12865,2019,1220,Afternoon,Morning
Air India,Mumbai,Hyderabad,0,5462,2019,75,Evening,Evening
SpiceJet,Delhi,Cochin,1,8382,2019,310,Morning,Morning
Jet Airways,Banglore,Delhi,0,4544,2019,180,Evening,Evening
Jet Airways,Banglore,Delhi,0,4544,2019,175,Afternoon,Evening
Jet Airways,Kolkata,Banglore,1,14781,2019,425,Afternoon,Night
SpiceJet,Delhi,Cochin,1,5158,2019,270,Morning,Afternoon
Jet Airways,Mumbai,Hyderabad,0,5678,2019,90,Afternoon,Evening
Jet Airways,Delhi,Cochin,2,18804,2019,440,Morning,Evening
IndiGo,Mumbai,Hyderabad,0,4049,2019,90,Morning,Morning
IndiGo,Kolkata,Banglore,0,6565,2019,165,Morning,Afternoon
Jet Airways,Delhi,Cochin,1,12373,2019,1100,Evening,Afternoon
Air India,Banglore,New Delhi,0,4441,2019,165,Evening,Evening
SpiceJet,Chennai,Kolkata,0,3597,2019,140,Evening,Evening
Jet Airways,Mumbai,Hyderabad,0,5678,2019,90,Evening,Evening
Air India,Delhi,Cochin,2,10660,2019,1420,Morning,Morning
Jet Airways,Banglore,Delhi,0,4544,2019,165,Morning,Morning
IndiGo,Banglore,Delhi,0,4823,2019,170,Morning,Morning
Air India,Kolkata,Banglore,2,14214,2019,525,Afternoon,Night
Jet Airways,Kolkata,Banglore,1,14781,2019,475,Morning,Afternoon
Jet Airways,Delhi,Cochin,1,14053,2019,1415,Evening,Evening
Jet Airways,Delhi,Cochin,1,10262,2019,1270,Evening,Evening
IndiGo,Banglore,Delhi,0,4823,2019,170,Evening,Night
Air India,Delhi,Cochin,1,8361,2019,875,Evening,Morning
Multiple carriers,Delhi,Cochin,1,17057,2019,375,Morning,Afternoon
IndiGo,Delhi,Cochin,1,5883,2019,845,Morning,Night
Jet Airways,Delhi,Cochin,1,12898,2019,450,Morning,Evening
Jet Airways,Delhi,Cochin,1,16079,2019,1005,Night,Evening
Multiple carriers,Delhi,Cochin,1,10678,2019,460,Night,Afternoon
Air India,Banglore,New Delhi,2,20999,2019,1705,Morning,Morning
IndiGo,Banglore,New Delhi,1,6575,2019,300,Evening,Night
Jet Airways,Delhi,Cochin,2,15129,2019,535,Evening,Night
Jet Airways,Kolkata,Banglore,1,10844,2019,1400,Evening,Evening
Air India,Banglore,New Delhi,1,11654,2019,855,Morning,Night
IndiGo,Kolkata,Banglore,1,5069,2019,290,Morning,Afternoon
Air India,Banglore,Delhi,0,5176,2019,165,Morning,Morning
Jet Airways,Delhi,Cochin,2,13292,2019,1375,Night,Night
IndiGo,Delhi,Cochin,1,6386,2019,345,Night,Morning
Jet Airways,Delhi,Cochin,2,15129,2019,1775,Afternoon,Evening
Air India,Kolkata,Banglore,0,4435,2019,155,Evening,Night
IndiGo,Banglore,Delhi,0,4591,2019,170,Night,Night
Jet Airways,Banglore,New Delhi,1,7832,2019,1035,Night,Night
IndiGo,Kolkata,Banglore,0,4174,2019,155,Night,Morning
Multiple carriers,Delhi,Cochin,1,6148,2019,510,Morning,Afternoon
Multiple carriers,Delhi,Cochin,1,9149,2019,600,Morning,Evening
Multiple carriers,Delhi,Cochin,2,6128,2019,495,Afternoon,Evening
IndiGo,Delhi,Cochin,1,6412,2019,370,Afternoon,Night
Multiple carriers,Delhi,Cochin,1,8073,2019,780,Morning,Evening
Jet Airways,Delhi,Cochin,0,4256,2019,195,Morning,Afternoon
Air India,Kolkata,Banglore,2,14634,2019,1165,Morning,Night
Multiple carriers,Delhi,Cochin,1,14067,2019,480,Afternoon,Evening
IndiGo,Kolkata,Banglore,0,4804,2019,155,Afternoon,Evening
SpiceJet,Kolkata,Banglore,0,4911,2019,150,Evening,Evening
IndiGo,Delhi,Cochin,1,6412,2019,380,Afternoon,Night
SpiceJet,Chennai,Kolkata,0,3543,2019,135,Morning,Morning
IndiGo,Chennai,Kolkata,0,3858,2019,145,Morning,Afternoon
Air India,Kolkata,Banglore,2,9941,2019,1195,Afternoon,Morning
Jet Airways,Banglore,Delhi,0,7229,2019,180,Morning,Morning
GoAir,Banglore,New Delhi,1,8352,2019,270,Afternoon,Evening
Jet Airways,Kolkata,Banglore,1,14151,2019,750,Morning,Night
Multiple carriers,Delhi,Cochin,1,6795,2019,465,Evening,Night
IndiGo,Kolkata,Banglore,0,4804,2019,155,Evening,Night
Air India,Delhi,Cochin,1,6587,2019,1535,Night,Morning
GoAir,Delhi,Cochin,1,4106,2019,370,Morning,Afternoon
Air India,Kolkata,Banglore,0,5510,2019,150,Afternoon,Afternoon
Jet Airways,Delhi,Cochin,2,15129,2019,560,Morning,Evening
Jet Airways,Delhi,Cochin,2,13029,2019,1125,Morning,Night
IndiGo,Delhi,Cochin,1,6582,2019,315,Morning,Afternoon
Multiple carriers,Delhi,Cochin,1,5797,2019,465,Evening,Night
Jet Airways,Kolkata,Banglore,1,12692,2019,870,Evening,Morning
SpiceJet,Chennai,Kolkata,0,3332,2019,135,Morning,Morning
Air India,Kolkata,Banglore,2,10151,2019,1195,Afternoon,Morning
IndiGo,Delhi,Cochin,1,5046,2019,325,Night,Morning
Air India,Delhi,Cochin,1,8907,2019,1010,Morning,Night
Air India,Banglore,Delhi,0,5228,2019,170,Evening,Night
IndiGo,Delhi,Cochin,1,13753,2019,275,Night,Morning
Jet Airways,Banglore,New Delhi,1,11087,2019,745,Morning,Evening
Jet Airways,Kolkata,Banglore,1,14781,2019,570,Afternoon,Night
IndiGo,Kolkata,Banglore,0,5224,2019,155,Morning,Afternoon
Jet Airways,Banglore,Delhi,0,3702,2019,175,Afternoon,Evening
IndiGo,Mumbai,Hyderabad,0,2754,2019,85,Evening,Evening
Air Asia,Banglore,Delhi,0,3383,2019,165,Morning,Afternoon
Air India,Banglore,Delhi,0,5228,2019,170,Afternoon,Afternoon
IndiGo,Delhi,Cochin,1,5054,2019,305,Evening,Night
Jet Airways,Banglore,New Delhi,1,13555,2019,615,Morning,Evening
Multiple carriers,Delhi,Cochin,1,7408,2019,510,Evening,Night
IndiGo,Kolkata,Banglore,0,5224,2019,150,Afternoon,Afternoon
IndiGo,Banglore,New Delhi,1,9694,2019,295,Afternoon,Evening
IndiGo,Delhi,Cochin,1,7318,2019,505,Evening,Night
IndiGo,Delhi,Cochin,1,5054,2019,275,Morning,Afternoon
Jet Airways,Banglore,Delhi,0,4030,2019,185,Evening,Night
Jet Airways,Banglore,New Delhi,1,16736,2019,625,Morning,Evening
Air India,Mumbai,Hyderabad,0,2050,2019,75,Evening,Evening
Air India,Mumbai,Hyderabad,2,9977,2019,795,Night,Afternoon
IndiGo,Delhi,Cochin,1,6755,2019,355,Morning,Afternoon
Jet Airways,Banglore,Delhi,0,3502,2019,175,Afternoon,Evening
Air India,Banglore,Delhi,0,6961,2019,165,Morning,Afternoon
Jet Airways,Banglore,Delhi,0,4544,2019,175,Afternoon,Evening
SpiceJet,Kolkata,Banglore,0,3841,2019,150,Afternoon,Evening
Vistara,Kolkata,Banglore,1,9502,2019,1555,Morning,Morning
Air India,Mumbai,Hyderabad,0,3100,2019,80,Morning,Morning
SpiceJet,Banglore,Delhi,0,4319,2019,160,Night,Morning
IndiGo,Mumbai,Hyderabad,0,2227,2019,95,Evening,Evening
SpiceJet,Kolkata,Banglore,0,5831,2019,140,Night,Night
IndiGo,Kolkata,Banglore,0,4804,2019,160,Evening,Night
IndiGo,Delhi,Cochin,1,5458,2019,275,Morning,Afternoon
Jet Airways,Banglore,Delhi,0,7229,2019,185,Evening,Night
Jet Airways,Kolkata,Banglore,1,14571,2019,910,Evening,Morning
SpiceJet,Banglore,Delhi,0,3919,2019,175,Evening,Night
Multiple carriers,Delhi,Cochin,1,6916,2019,545,Morning,Afternoon
Jet Airways,Delhi,Cochin,1,6960,2019,925,Afternoon,Night
Jet Airways,Banglore,New Delhi,1,16757,2019,280,Morning,Afternoon
IndiGo,Delhi,Cochin,1,14871,2019,575,Afternoon,Night
IndiGo,Delhi,Cochin,1,5054,2019,275,Morning,Afternoon
Air India,Delhi,Cochin,2,12488,2019,1855,Afternoon,Evening
IndiGo,Banglore,Delhi,0,4823,2019,175,Evening,Evening
Air India,Delhi,Cochin,2,11989,2019,1560,Evening,Evening
Jet Airways,Delhi,Cochin,1,16079,2019,1210,Night,Evening
Jet Airways,Kolkata,Banglore,1,13067,2019,1520,Morning,Morning
IndiGo,Delhi,Cochin,1,6818,2019,665,Night,Afternoon
Jet Airways,Kolkata,Banglore,1,13941,2019,1430,Morning,Morning
Multiple carriers,Delhi,Cochin,1,12927,2019,600,Morning,Evening
IndiGo,Kolkata,Banglore,0,4804,2019,155,Night,Night
Jet Airways,Delhi,Cochin,1,5406,2019,1235,Afternoon,Afternoon
IndiGo,Delhi,Cochin,1,7318,2019,890,Morning,Night
IndiGo,Chennai,Kolkata,0,3384,2019,140,Morning,Morning
Air Asia,Delhi,Cochin,1,11410,2019,590,Evening,Morning
Jet Airways,Banglore,New Delhi,1,9134,2019,450,Night,Afternoon
Jet Airways,Banglore,New Delhi,1,7832,2019,435,Afternoon,Evening
Jet Airways,Banglore,New Delhi,1,14815,2019,1365,Morning,Morning
IndiGo,Banglore,Delhi,0,4591,2019,170,Night,Night
Jet Airways,Delhi,Cochin,1,12373,2019,1210,Night,Evening
Air Asia,Banglore,New Delhi,0,4284,2019,170,Night,Morning
Jet Airways,Kolkata,Banglore,1,13941,2019,1375,Night,Night
Jet Airways,Delhi,Cochin,1,16289,2019,1525,Evening,Evening
IndiGo,Delhi,Cochin,1,9165,2019,305,Night,Night
Jet Airways,Banglore,Delhi,0,8016,2019,165,Morning,Morning
Air Asia,Kolkata,Banglore,1,5192,2019,720,Night,Morning
Jet Airways,Kolkata,Banglore,1,14939,2019,665,Evening,Morning
Multiple carriers,Delhi,Cochin,1,14502,2019,540,Morning,Evening
Jet Airways,Banglore,New Delhi,1,13817,2019,810,Night,Afternoon
Jet Airways,Kolkata,Banglore,1,14151,2019,505,Morning,Evening
Multiple carriers,Delhi,Cochin,1,15077,2019,510,Morning,Evening
Multiple carriers,Delhi,Cochin,1,12192,2019,600,Morning,Evening
SpiceJet,Mumbai,Hyderabad,0,1965,2019,90,Afternoon,Afternoon
IndiGo,Chennai,Kolkata,0,3850,2019,140,Morning,Morning
IndiGo,Mumbai,Hyderabad,0,3175,2019,90,Afternoon,Evening
Jet Airways,Banglore,Delhi,0,7229,2019,185,Evening,Night
Jet Airways,Delhi,Cochin,1,16079,2019,1425,Evening,Evening
IndiGo,Mumbai,Hyderabad,0,4392,2019,90,Morning,Morning
Jet Airways,Delhi,Cochin,2,10368,2019,560,Morning,Evening
Jet Airways,Delhi,Cochin,1,12898,2019,1210,Night,Evening
Air India,Kolkata,Banglore,2,14960,2019,1185,Afternoon,Afternoon
IndiGo,Delhi,Cochin,1,6442,2019,835,Morning,Night
SpiceJet,Chennai,Kolkata,0,3597,2019,135,Morning,Morning
Jet Airways,Delhi,Cochin,2,18804,2019,440,Morning,Evening
Vistara,Delhi,Cochin,0,6111,2019,190,Morning,Morning
IndiGo,Delhi,Cochin,0,6015,2019,195,Evening,Night
Air India,Banglore,Delhi,0,6121,2019,170,Afternoon,Afternoon
Jet Airways,Kolkata,Banglore,1,6287,2019,435,Morning,Evening
Jet Airways,Banglore,Delhi,0,7229,2019,175,Afternoon,Evening
IndiGo,Delhi,Cochin,1,6442,2019,455,Morning,Afternoon
Jet Airways,Banglore,Delhi,0,4544,2019,175,Afternoon,Evening
Air India,Kolkata,Banglore,2,11542,2019,1700,Morning,Afternoon
Jet Airways,Delhi,Cochin,1,16079,2019,520,Evening,Night
Multiple carriers,Delhi,Cochin,1,6076,2019,545,Morning,Afternoon
Air India,Kolkata,Banglore,2,10408,2019,920,Morning,Night
GoAir,Banglore,New Delhi,0,13663,2019,175,Morning,Morning
Air India,Delhi,Cochin,1,10671,2019,705,Evening,Morning
Air Asia,Banglore,Delhi,0,3383,2019,170,Night,Night
Multiple carriers,Delhi,Cochin,1,9021,2019,910,Morning,Night
Multiple carriers,Delhi,Cochin,1,14533,2019,615,Morning,Evening
Jet Airways,Delhi,Cochin,2,11992,2019,1000,Morning,Night
IndiGo,Chennai,Kolkata,0,3597,2019,140,Afternoon,Afternoon
IndiGo,Banglore,Delhi,0,4077,2019,165,Night,Night
Multiple carriers,Delhi,Cochin,1,9646,2019,545,Morning,Afternoon
SpiceJet,Kolkata,Banglore,0,3873,2019,140,Night,Night
Jet Airways,Delhi,Cochin,2,15129,2019,1430,Evening,Evening
IndiGo,Delhi,Cochin,1,6104,2019,480,Evening,Night
Jet Airways,Delhi,Cochin,2,16022,2019,1995,Evening,Night
Jet Airways,Banglore,New Delhi,1,10562,2019,885,Morning,Night
Air India,Delhi,Cochin,1,10945,2019,1640,Morning,Morning
SpiceJet,Kolkata,Banglore,0,3873,2019,145,Morning,Morning
Jet Airways,Mumbai,Hyderabad,0,1840,2019,90,Night,Night
IndiGo,Delhi,Cochin,1,9585,2019,425,Night,Afternoon
Jet Airways,Mumbai,Hyderabad,0,3210,2019,90,Evening,Evening
IndiGo,Delhi,Cochin,1,6147,2019,290,Afternoon,Evening
Jet Airways,Kolkata,Banglore,1,7341,2019,395,Evening,Night
Air India,Delhi,Cochin,1,8372,2019,615,Morning,Evening
Multiple carriers,Delhi,Cochin,1,10877,2019,690,Morning,Evening
Air India,Delhi,Cochin,2,10441,2019,1275,Night,Evening
IndiGo,Delhi,Cochin,1,13611,2019,975,Night,Evening
Jet Airways,Banglore,New Delhi,1,11087,2019,1550,Morning,Morning
Jet Airways,Delhi,Cochin,1,5963,2019,1470,Evening,Evening
IndiGo,Chennai,Kolkata,0,3597,2019,140,Afternoon,Afternoon
Jet Airways,Kolkata,Banglore,1,8529,2019,910,Evening,Morning
Multiple carriers,Delhi,Cochin,1,10678,2019,845,Night,Evening
IndiGo,Delhi,Cochin,1,8285,2019,755,Morning,Evening
Jet Airways,Delhi,Cochin,1,18371,2019,620,Night,Afternoon
Jet Airways,Kolkata,Banglore,1,12692,2019,800,Evening,Morning
IndiGo,Banglore,Delhi,0,4423,2019,165,Morning,Morning
Jet Airways,Banglore,Delhi,0,7229,2019,180,Evening,Night
IndiGo,Banglore,New Delhi,0,6144,2019,170,Night,Night
Jet Airways,Delhi,Cochin,2,10919,2019,1300,Morning,Night
IndiGo,Kolkata,Banglore,0,4148,2019,160,Evening,Night
SpiceJet,Banglore,New Delhi,0,3873,2019,170,Evening,Night
Jet Airways,Delhi,Cochin,2,11702,2019,550,Morning,Evening
IndiGo,Delhi,Cochin,1,14871,2019,505,Evening,Night
Air India,Banglore,New Delhi,2,11234,2019,1705,Morning,Morning
IndiGo,Delhi,Cochin,1,6938,2019,490,Afternoon,Night
IndiGo,Delhi,Cochin,1,6093,2019,750,Morning,Evening
IndiGo,Banglore,Delhi,0,3943,2019,170,Morning,Afternoon
Jet Airways,Mumbai,Hyderabad,0,8040,2019,90,Morning,Morning
Jet Airways,Delhi,Cochin,2,15129,2019,810,Night,Afternoon
SpiceJet,Chennai,Kolkata,0,3597,2019,140,Evening,Evening
Vistara,Kolkata,Banglore,1,8610,2019,700,Morning,Evening
Jet Airways,Kolkata,Banglore,1,13067,2019,395,Evening,Night
SpiceJet,Banglore,Delhi,0,4991,2019,170,Morning,Afternoon
SpiceJet,Kolkata,Banglore,1,4649,2019,315,Afternoon,Evening
SpiceJet,Chennai,Kolkata,0,3597,2019,135,Morning,Morning
Jet Airways,Delhi,Cochin,1,12898,2019,660,Morning,Evening
IndiGo,Banglore,New Delhi,0,8855,2019,170,Afternoon,Evening
Jet Airways,Delhi,Cochin,1,10262,2019,1270,Evening,Evening
IndiGo,Banglore,Delhi,0,3943,2019,165,Morning,Morning
Multiple carriers,Delhi,Cochin,1,9001,2019,385,Afternoon,Evening
Multiple carriers,Delhi,Cochin,1,7670,2019,910,Morning,Night
Multiple carriers,Delhi,Cochin,1,7530,2019,465,Evening,Night
IndiGo,Kolkata,Banglore,1,8443,2019,295,Morning,Afternoon
SpiceJet,Delhi,Cochin,1,5351,2019,315,Morning,Morning
Vistara,Delhi,Cochin,0,6688,2019,190,Morning,Morning
Jet Airways,Banglore,New Delhi,1,11087,2019,1355,Evening,Evening
Air India,Banglore,New Delhi,2,7664,2019,1815,Night,Afternoon
IndiGo,Kolkata,Banglore,1,4775,2019,315,Afternoon,Evening
GoAir,Kolkata,Banglore,0,3514,2019,155,Afternoon,Evening
Jet Airways,Delhi,Cochin,2,13376,2019,1300,Morning,Night
Jet Airways,Delhi,Cochin,2,14300,2019,1705,Morning,Afternoon
Air India,Delhi,Cochin,1,7480,2019,765,Evening,Morning
IndiGo,Mumbai,Hyderabad,0,2227,2019,90,Evening,Night
Air Asia,Delhi,Cochin,1,7452,2019,870,Morning,Night
Air Asia,Kolkata,Banglore,0,4409,2019,155,Morning,Afternoon
Air India,Kolkata,Banglore,2,4647,2019,1555,Morning,Morning
SpiceJet,Chennai,Kolkata,0,3332,2019,155,Morning,Afternoon
Air India,Delhi,Cochin,1,6902,2019,555,Morning,Evening
Air Asia,Kolkata,Banglore,1,6857,2019,215,Evening,Night
Jet Airways,Delhi,Cochin,1,12373,2019,550,Evening,Night
Multiple carriers,Delhi,Cochin,1,11789,2019,440,Morning,Evening
Air India,Delhi,Cochin,2,13039,2019,865,Evening,Morning
Jet Airways,Banglore,New Delhi,1,11087,2019,750,Night,Morning
Vistara,Kolkata,Banglore,1,9345,2019,1625,Evening,Night
SpiceJet,Mumbai,Hyderabad,0,1965,2019,90,Night,Night
IndiGo,Delhi,Cochin,1,6093,2019,810,Morning,Evening
Jet Airways,Kolkata,Banglore,1,11841,2019,800,Evening,Morning
Jet Airways,Kolkata,Banglore,1,9663,2019,775,Evening,Morning
Jet Airways,Delhi,Cochin,1,14714,2019,1425,Evening,Evening
Jet Airways,Kolkata,Banglore,1,8529,2019,1660,Evening,Night
IndiGo,Delhi,Cochin,1,5073,2019,275,Morning,Afternoon
Jet Airways,Banglore,Delhi,0,7229,2019,180,Morning,Morning
Air India,Delhi,Cochin,1,9194,2019,555,Morning,Evening
Multiple carriers,Delhi,Cochin,1,11789,2019,440,Morning,Evening
SpiceJet,Mumbai,Hyderabad,0,2017,2019,90,Afternoon,Afternoon
Air India,Kolkata,Banglore,2,15894,2019,1320,Afternoon,Afternoon
IndiGo,Banglore,Delhi,0,3419,2019,165,Night,Night
Jet Airways,Delhi,Cochin,2,10368,2019,1375,Night,Night
IndiGo,Delhi,Cochin,1,6027,2019,290,Afternoon,Evening
Air India,Delhi,Cochin,1,7480,2019,765,Evening,Morning
SpiceJet,Kolkata,Banglore,1,7189,2019,520,Morning,Evening
Air India,Banglore,New Delhi,0,7276,2019,165,Morning,Afternoon
Jet Airways,Delhi,Cochin,1,15764,2019,1015,Morning,Night
Jet Airways,Delhi,Cochin,1,14714,2019,550,Evening,Night
Multiple carriers,Delhi,Cochin,1,7888,2019,510,Evening,Night
Jet Airways,Delhi,Cochin,1,10262,2019,1225,Morning,Night
Jet Airways,Delhi,Cochin,2,15318,2019,505,Evening,Night
Jet Airways,Kolkata,Banglore,1,5608,2019,435,Morning,Evening
Jet Airways,Kolkata,Banglore,1,12681,2019,590,Morning,Evening
Air India,Delhi,Cochin,2,9417,2019,970,Evening,Morning
Multiple carriers,Delhi,Cochin,1,17057,2019,835,Morning,Evening
Multiple carriers,Delhi,Cochin,1,12537,2019,480,Afternoon,Evening
Air India,Delhi,Cochin,2,10651,2019,1275,Night,Evening
Vistara,Delhi,Cochin,0,6741,2019,190,Morning,Morning
Jet Airways,Kolkata,Banglore,1,10844,2019,1595,Evening,Night
Air India,Delhi,Cochin,2,13381,2019,1730,Afternoon,Evening
IndiGo,Banglore,Delhi,0,4423,2019,165,Morning,Morning
Jet Airways,Mumbai,Hyderabad,0,5678,2019,90,Evening,Evening
Jet Airways,Delhi,Cochin,2,12719,2019,1620,Morning,Afternoon
IndiGo,Delhi,Cochin,1,5054,2019,275,Morning,Afternoon
Air India,Delhi,Cochin,1,7480,2019,1420,Morning,Morning
Air India,Banglore,Delhi,0,6961,2019,165,Evening,Evening
SpiceJet,Kolkata,Banglore,0,3841,2019,150,Evening,Evening
IndiGo,Banglore,Delhi,0,3943,2019,180,Evening,Night
Jet Airways,Banglore,Delhi,0,7229,2019,180,Morning,Morning
SpiceJet,Banglore,Delhi,0,4319,2019,170,Morning,Afternoon
IndiGo,Banglore,Delhi,0,4423,2019,170,Afternoon,Afternoon
Jet Airways,Delhi,Cochin,1,16079,2019,335,Night,Night
Jet Airways,Banglore,Delhi,0,7754,2019,180,Evening,Night
Air India,Delhi,Cochin,2,10467,2019,1210,Afternoon,Morning
Jet Airways,Delhi,Cochin,1,14714,2019,1145,Evening,Afternoon
Air India,Kolkata,Banglore,1,7452,2019,1700,Afternoon,Evening
Air India,Delhi,Cochin,2,13276,2019,1795,Afternoon,Evening
Air India,Chennai,Kolkata,0,4667,2019,135,Morning,Afternoon
Jet Airways,Banglore,Delhi,0,7229,2019,175,Afternoon,Evening
Jet Airways,Delhi,Cochin,2,14237,2019,1090,Evening,Afternoon
Multiple carriers,Delhi,Cochin,1,8266,2019,535,Morning,Evening
Jet Airways,Delhi,Cochin,2,13882,2019,1140,Morning,Night
IndiGo,Banglore,Delhi,0,4823,2019,170,Evening,Night
Air Asia,Banglore,Delhi,0,4483,2019,170,Night,Night
Air India,Banglore,Delhi,0,6961,2019,165,Morning,Morning
Jet Airways,Kolkata,Banglore,1,9663,2019,910,Evening,Morning
Jet Airways,Delhi,Cochin,2,16704,2019,1760,Night,Night
IndiGo,Mumbai,Hyderabad,0,4049,2019,90,Morning,Morning
SpiceJet,Chennai,Kolkata,0,3807,2019,135,Morning,Morning
IndiGo,Delhi,Cochin,1,6442,2019,940,Morning,Night
Jet Airways,Banglore,New Delhi,1,7832,2019,1480,Morning,Morning
IndiGo,Delhi,Cochin,1,6442,2019,835,Morning,Night
IndiGo,Banglore,Delhi,0,4823,2019,170,Evening,Night
Jet Airways,Banglore,New Delhi,1,13555,2019,1400,Night,Night
GoAir,Delhi,Cochin,1,5135,2019,540,Morning,Evening
Air Asia,Banglore,Delhi,0,3383,2019,170,Night,Night
GoAir,Delhi,Cochin,1,5842,2019,370,Morning,Afternoon
Jet Airways,Delhi,Cochin,2,16704,2019,900,Afternoon,Night
Air India,Kolkata,Banglore,1,8366,2019,905,Afternoon,Morning
SpiceJet,Mumbai,Hyderabad,0,1965,2019,90,Night,Morning
SpiceJet,Kolkata,Banglore,0,3873,2019,150,Evening,Evening
Multiple carriers,Delhi,Cochin,1,10678,2019,460,Night,Afternoon
Air India,Banglore,New Delhi,1,6824,2019,865,Morning,Night
Multiple carriers,Delhi,Cochin,1,13378,2019,730,Morning,Evening
IndiGo,Banglore,Delhi,0,3943,2019,170,Night,Morning
IndiGo,Delhi,Cochin,1,7191,2019,575,Morning,Evening
SpiceJet,Banglore,Delhi,0,3625,2019,160,Night,Morning
GoAir,Delhi,Cochin,1,6841,2019,370,Morning,Afternoon
Jet Airways,Kolkata,Banglore,1,11134,2019,390,Afternoon,Night
Jet Airways,Kolkata,Banglore,1,14571,2019,1550,Evening,Evening
Jet Airways,Banglore,Delhi,0,4544,2019,180,Evening,Evening
Jet Airways,Delhi,Cochin,2,13376,2019,830,Afternoon,Night
Jet Airways,Banglore,New Delhi,1,11087,2019,1050,Evening,Afternoon
SpiceJet,Kolkata,Banglore,0,5515,2019,150,Morning,Morning
IndiGo,Kolkata,Banglore,0,4804,2019,155,Night,Morning
IndiGo,Chennai,Kolkata,0,3597,2019,140,Afternoon,Afternoon
Multiple carriers,Delhi,Cochin,1,15353,2019,795,Morning,Evening
Jet Airways,Kolkata,Banglore,1,9899,2019,590,Morning,Afternoon
Jet Airways,Banglore,New Delhi,1,13817,2019,745,Morning,Evening
Jet Airways,Delhi,Cochin,2,19329,2019,1475,Evening,Evening
Jet Airways,Delhi,Cochin,1,16289,2019,330,Morning,Afternoon
