employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
8284,Sales & Marketing,region_2,Bachelor's,f,other,1,34,5,5,0,0,60,1
69715,Operations,region_2,,f,other,1,58,4,18,1,0,60,0
36117,Technology,region_24,Bachelor's,m,sourcing,1,35,3,7,0,0,82,0
56139,Sales & Marketing,region_16,,m,other,1,24,4,2,0,0,51,0
15924,Sales & Marketing,region_23,Bachelor's,m,other,1,35,2,8,0,0,48,0
41776,Technology,region_23,Bachelor's,m,sourcing,1,31,1,2,0,0,81,0
25949,Operations,region_29,Bachelor's,m,other,1,33,3,5,0,0,60,0
51509,HR,region_2,Master's & above,f,sourcing,1,44,3,14,0,0,47,0
36936,Sales & Marketing,region_28,,m,other,1,24,2,2,1,0,52,1
25572,Procurement,region_2,Bachelor's,m,other,2,34,2,10,0,0,69,0
11337,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,37,5,2,0,0,54,0
34965,Operations,region_26,Bachelor's,m,other,2,31,3,4,0,0,63,0
38318,Procurement,region_19,Bachelor's,m,other,1,32,3,8,0,0,69,0
60969,Operations,region_2,Bachelor's,f,other,1,33,5,7,1,0,57,0
72765,Operations,region_2,,f,sourcing,1,53,3,11,0,0,57,0
16951,Operations,region_22,Bachelor's,m,sourcing,2,37,5,4,1,0,57,0
54416,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,30,2,5,0,0,49,0
4585,Analytics,region_15,Bachelor's,m,sourcing,1,35,5,3,1,0,81,0
64140,Technology,region_11,Bachelor's,m,sourcing,1,32,3,4,0,0,80,0
35746,Operations,region_15,Bachelor's,m,sourcing,1,45,3,9,0,0,61,0
6587,Procurement,region_13,Bachelor's,m,other,1,29,,1,0,0,69,0
1901,Sales & Marketing,region_4,Bachelor's,m,sourcing,2,31,3,4,0,0,53,0
56849,Technology,region_15,Bachelor's,m,sourcing,2,34,3,8,0,0,80,0
56233,Analytics,region_22,Bachelor's,f,other,1,24,,1,1,0,86,0
15844,Operations,region_3,Master's & above,f,other,1,31,5,7,1,0,59,0
1497,Sales & Marketing,region_10,Master's & above,f,other,1,37,3,6,1,0,47,0
11488,Sales & Marketing,region_7,Master's & above,m,other,1,42,3,12,0,0,48,0
59616,Procurement,region_4,Master's & above,m,other,1,40,3,6,0,0,72,0
9002,Operations,region_2,Bachelor's,m,sourcing,1,37,5,5,1,0,64,0
63753,Operations,region_22,Bachelor's,m,other,1,50,3,8,0,0,57,0
9192,Operations,region_21,Bachelor's,m,other,1,28,,1,0,0,61,0
30143,HR,region_2,Master's & above,f,referred,1,57,3,13,0,0,53,0
23360,Sales & Marketing,region_28,Master's & above,m,other,2,42,2,10,0,0,46,0
53301,Operations,region_2,Master's & above,m,sourcing,1,34,3,8,0,0,61,0
29073,Operations,region_2,Bachelor's,f,sourcing,1,34,5,8,1,0,54,0
36460,Operations,region_13,Bachelor's,m,other,1,29,,1,0,0,62,0
3171,Operations,region_4,Master's & above,f,referred,1,32,4,7,1,0,59,0
55062,Operations,region_7,Bachelor's,f,sourcing,1,27,5,2,0,0,61,0
64798,Analytics,region_22,Bachelor's,m,other,3,30,,1,1,0,83,0
7908,Technology,region_33,Master's & above,m,other,1,46,3,17,0,0,83,0
70048,Sales & Marketing,region_1,Master's & above,m,other,1,37,3,10,1,0,49,1
63757,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,48,4,13,0,0,52,0
19046,Technology,region_2,Bachelor's,m,other,1,40,5,12,1,0,84,0
37427,Technology,region_20,Bachelor's,m,other,1,32,3,6,0,0,73,0
58138,Sales & Marketing,region_20,Bachelor's,m,other,1,33,1,7,0,0,48,0
68064,Procurement,region_23,Bachelor's,f,other,1,35,3,6,0,0,66,0
6711,Sales & Marketing,region_6,,m,sourcing,1,23,3,2,0,0,51,0
51002,Analytics,region_15,Master's & above,m,other,1,32,3,4,0,0,86,0
5132,Operations,region_2,Bachelor's,m,sourcing,4,31,3,6,0,0,59,0
15801,Operations,region_26,Bachelor's,f,other,1,40,4,13,0,0,60,0
47265,Procurement,region_2,Master's & above,m,other,1,43,2,7,0,0,70,0
26798,Operations,region_32,Master's & above,m,other,1,38,3,6,0,0,60,0
72203,Sales & Marketing,region_7,Bachelor's,m,other,1,36,5,8,0,0,49,0
46862,Procurement,region_7,Master's & above,m,other,1,49,5,20,1,0,65,0
75629,Sales & Marketing,region_22,Bachelor's,f,sourcing,1,32,1,4,0,0,50,0
10452,Analytics,region_2,Bachelor's,m,other,2,26,3,2,0,0,91,0
37017,Analytics,region_7,Bachelor's,m,sourcing,1,55,3,18,0,0,87,0
76427,HR,region_22,Master's & above,f,other,1,35,3,5,0,0,50,0
46925,Operations,region_9,Master's & above,f,other,1,36,4,6,1,0,59,0
43828,Sales & Marketing,region_30,Bachelor's,m,other,1,29,5,4,1,0,45,0
58383,Procurement,region_4,Bachelor's,m,other,1,46,3,19,1,0,72,0
20660,R&D,region_27,Bachelor's,m,sourcing,2,30,3,4,0,0,84,0
46166,Sales & Marketing,region_2,Bachelor's,m,other,1,51,5,19,0,0,40,0
11123,Sales & Marketing,region_29,Master's & above,m,other,1,37,3,7,0,0,54,0
67946,Analytics,region_32,,m,other,1,27,3,2,0,0,88,0
41763,Sales & Marketing,region_26,,m,other,1,43,1,4,0,0,49,0
40628,HR,region_32,Bachelor's,f,other,1,31,3,7,0,0,51,0
61482,Operations,region_7,Master's & above,f,sourcing,2,38,4,9,1,0,65,0
63083,Sales & Marketing,region_2,Master's & above,f,other,1,43,1,10,0,0,45,0
33789,Technology,region_7,Bachelor's,m,sourcing,3,29,3,4,0,0,81,0
3540,Technology,region_22,Master's & above,f,sourcing,1,30,3,2,0,0,79,0
51292,HR,region_2,Bachelor's,f,other,1,49,5,22,1,0,50,0
47265,Procurement,region_2,Master's & above,m,other,1,43,2,7,0,0,70,0
26798,Operations,region_32,Master's & above,m,other,1,38,3,6,0,0,60,0
72203,Sales & Marketing,region_7,Bachelor's,m,other,1,36,5,8,0,0,49,0
46862,Procurement,region_7,Master's & above,m,other,1,49,5,20,1,0,65,0
75629,Sales & Marketing,region_22,Bachelor's,f,sourcing,1,32,1,4,0,0,50,0
10452,Analytics,region_2,Bachelor's,m,other,2,26,3,2,0,0,91,0
37017,Analytics,region_7,Bachelor's,m,sourcing,1,55,3,18,0,0,87,0
76427,HR,region_22,Master's & above,f,other,1,35,3,5,0,0,50,0
46925,Operations,region_9,Master's & above,f,other,1,36,4,6,1,0,59,0
43828,Sales & Marketing,region_30,Bachelor's,m,other,1,29,5,4,1,0,45,0
58383,Procurement,region_4,Bachelor's,m,other,1,46,3,19,1,0,72,0
20660,R&D,region_27,Bachelor's,m,sourcing,2,30,3,4,0,0,84,0
46166,Sales & Marketing,region_2,Bachelor's,m,other,1,51,5,19,0,0,40,0
11123,Sales & Marketing,region_29,Master's & above,m,other,1,37,3,7,0,0,54,0
67946,Analytics,region_32,,m,other,1,27,3,2,0,0,88,0
41763,Sales & Marketing,region_26,,m,other,1,43,1,4,0,0,49,0
33789,Technology,region_7,Bachelor's,m,sourcing,3,29,3,4,0,0,81,0
3540,Technology,region_22,Master's & above,f,sourcing,1,30,3,2,0,0,79,0
51292,HR,region_2,Bachelor's,f,other,1,49,5,22,1,0,50,0
