,Airline,Source,Destination,Total_Stops,Price,Year,Total_duration,Dep_time_of_day,Arrival_time_of_day
1135,Air India,Delhi,Cochin,2,13643,2019,1245,Morning,Morning
1136,Multiple carriers,Delhi,Cochin,1,6358,2019,840,Morning,Evening
1137,Jet Airways,Delhi,Cochin,1,14714,2019,360,Afternoon,Evening
1138,SpiceJet,Delhi,Cochin,1,6460,2019,270,Morning,Afternoon
1139,Jet Airways,Kolkata,Banglore,1,9663,2019,890,Evening,Afternoon
1140,Jet Airways,Kolkata,Banglore,1,13941,2019,1655,Morning,Morning
1141,Jet Airways,Delhi,Cochin,1,5963,2019,1440,Evening,Evening
1142,Jet Airways,Delhi,Cochin,2,13014,2019,1025,Evening,Afternoon
1143,Jet Airways,Kolkata,Banglore,1,9663,2019,1010,Afternoon,Morning
1144,IndiGo,Banglore,Delhi,0,4423,2019,170,Afternoon,Afternoon
1145,Jet Airways,Delhi,Cochin,2,21219,2019,440,Morning,Evening
1146,IndiGo,Delhi,Cochin,1,7503,2019,415,Evening,Night
1147,IndiGo,Kolkata,Banglore,0,4804,2019,160,Evening,Night
1148,Jet Airways,Delhi,Cochin,2,15129,2019,1615,Morning,Afternoon
1149,Multiple carriers,Delhi,Cochin,2,6197,2019,850,Morning,Evening
1150,SpiceJet,Chennai,Kolkata,0,3597,2019,140,Evening,Evening
1151,Multiple carriers,Delhi,Cochin,1,9100,2019,705,Morning,Evening
1152,Jet Airways,Mumbai,Hyderabad,0,4050,2019,85,Morning,Morning
1153,Multiple carriers,Delhi,Cochin,1,7723,2019,930,Morning,Night
1154,Jet Airways,Delhi,Cochin,2,15129,2019,1195,Night,Evening
1155,Jet Airways,Delhi,Cochin,1,12373,2019,660,Morning,Evening
1156,IndiGo,Banglore,Delhi,0,4591,2019,170,Night,Night
1157,SpiceJet,Chennai,Kolkata,0,6300,2019,135,Morning,Morning
1158,Air India,Banglore,New Delhi,0,5176,2019,165,Evening,Evening
1159,Multiple carriers,Delhi,Cochin,1,12717,2019,600,Morning,Evening
1160,Air India,Chennai,Kolkata,0,4405,2019,135,Morning,Afternoon
1161,SpiceJet,Delhi,Cochin,1,6749,2019,380,Afternoon,Night
1162,Jet Airways,Kolkata,Banglore,1,7064,2019,435,Morning,Evening
1163,Jet Airways,Delhi,Cochin,1,16289,2019,330,Morning,Afternoon
1164,IndiGo,Chennai,Kolkata,0,6297,2019,145,Morning,Afternoon
1165,Jet Airways,Mumbai,Hyderabad,0,5678,2019,90,Evening,Evening
1166,Jet Airways,Kolkata,Banglore,1,14388,2019,800,Evening,Morning
1167,Jet Airways,Banglore,Delhi,0,7229,2019,165,Morning,Morning
1168,IndiGo,Kolkata,Banglore,1,9806,2019,270,Morning,Afternoon
1169,IndiGo,Delhi,Cochin,1,6195,2019,345,Evening,Night
1170,Jet Airways,Kolkata,Banglore,1,13044,2019,1400,Evening,Evening
1171,Jet Airways,Delhi,Cochin,2,13882,2019,1000,Morning,Night
1172,Jet Airways,Banglore,New Delhi,1,8147,2019,300,Night,Morning
1173,Air India,Delhi,Cochin,2,8052,2019,865,Evening,Morning
1174,Jet Airways,Kolkata,Banglore,1,14781,2019,800,Morning,Evening
1175,Jet Airways,Kolkata,Banglore,1,14151,2019,750,Morning,Night
1176,IndiGo,Kolkata,Banglore,1,6704,2019,325,Evening,Night
1177,Jet Airways,Kolkata,Banglore,1,9663,2019,1655,Morning,Afternoon
1178,IndiGo,Kolkata,Banglore,0,4462,2019,155,Afternoon,Evening
1179,Jet Airways,Delhi,Cochin,2,8367,2019,1060,Morning,Night
1180,Jet Airways,Delhi,Cochin,2,13376,2019,1300,Morning,Night
1181,Jet Airways,Kolkata,Banglore,1,13067,2019,800,Evening,Morning
1182,IndiGo,Kolkata,Banglore,0,5224,2019,150,Afternoon,Afternoon
1183,Multiple carriers,Delhi,Cochin,1,13542,2019,575,Afternoon,Night
1184,GoAir,Banglore,Delhi,0,3419,2019,175,Morning,Morning
1185,Multiple carriers,Delhi,Cochin,2,10444,2019,695,Morning,Evening
1186,IndiGo,Kolkata,Banglore,0,4804,2019,155,Morning,Afternoon
1187,Jet Airways,Mumbai,Hyderabad,0,4995,2019,85,Morning,Morning
1188,SpiceJet,Delhi,Cochin,1,4957,2019,295,Evening,Night
1189,Jet Airways,Delhi,Cochin,1,15554,2019,450,Evening,Night
1190,Jet Airways,Kolkata,Banglore,1,9663,2019,960,Evening,Afternoon
1191,Jet Airways,Kolkata,Banglore,1,14151,2019,1450,Morning,Morning
1192,IndiGo,Delhi,Cochin,0,5601,2019,195,Night,Morning
1193,Multiple carriers,Delhi,Cochin,1,7787,2019,755,Morning,Evening
1194,Air India,Banglore,New Delhi,1,5092,2019,725,Morning,Night
1195,Jet Airways,Kolkata,Banglore,1,10844,2019,730,Evening,Morning
1197,Air India,Kolkata,Banglore,2,10676,2019,1830,Afternoon,Evening
1198,SpiceJet,Kolkata,Banglore,1,10156,2019,435,Morning,Evening
1199,Air Asia,Delhi,Cochin,1,8627,2019,865,Afternoon,Morning
1200,Air Asia,Kolkata,Banglore,0,4409,2019,150,Morning,Afternoon
1201,Multiple carriers,Delhi,Cochin,1,9646,2019,385,Morning,Afternoon
1202,Jet Airways,Banglore,New Delhi,1,13817,2019,900,Evening,Afternoon
1203,Air India,Delhi,Cochin,2,13538,2019,1100,Afternoon,Morning
1204,Air India,Kolkata,Banglore,2,9416,2019,1195,Afternoon,Morning
1205,Jet Airways,Banglore,Delhi,0,7229,2019,175,Morning,Afternoon
1206,Air India,Kolkata,Banglore,1,10203,2019,795,Morning,Night
1207,IndiGo,Delhi,Cochin,1,6778,2019,525,Afternoon,Night
1208,IndiGo,Mumbai,Hyderabad,0,2754,2019,90,Afternoon,Afternoon
1209,Air India,Kolkata,Banglore,2,10991,2019,875,Night,Evening
1210,Vistara,Banglore,Delhi,0,4668,2019,170,Morning,Afternoon
1211,SpiceJet,Delhi,Cochin,1,5726,2019,270,Morning,Afternoon
1212,Air India,Kolkata,Banglore,2,14960,2019,805,Morning,Night
1213,Air India,Delhi,Cochin,1,7480,2019,765,Evening,Morning
1214,Air Asia,Kolkata,Banglore,0,4107,2019,150,Evening,Night
1215,Jet Airways,Kolkata,Banglore,1,11467,2019,1450,Morning,Morning
1216,IndiGo,Delhi,Cochin,1,5796,2019,325,Night,Morning
1217,Jet Airways,Delhi,Cochin,1,10262,2019,1005,Night,Evening
1219,IndiGo,Delhi,Cochin,1,5298,2019,320,Morning,Afternoon
1220,Air Asia,Delhi,Cochin,1,6451,2019,625,Evening,Morning
1221,Air India,Kolkata,Banglore,0,6245,2019,150,Afternoon,Afternoon
1222,Jet Airways,Mumbai,Hyderabad,0,2071,2019,90,Evening,Evening
1223,IndiGo,Kolkata,Banglore,0,4804,2019,165,Morning,Afternoon
1224,Multiple carriers,Delhi,Cochin,1,7005,2019,810,Morning,Evening
1225,Jet Airways,Banglore,New Delhi,1,12284,2019,400,Night,Afternoon
1226,Air India,Kolkata,Banglore,1,10203,2019,805,Morning,Evening
1227,IndiGo,Delhi,Cochin,1,6938,2019,490,Afternoon,Night
1228,Multiple carriers,Delhi,Cochin,1,13377,2019,930,Morning,Night
1229,Multiple carriers,Delhi,Cochin,1,9779,2019,600,Morning,Evening
1230,Air India,Chennai,Kolkata,0,4667,2019,135,Morning,Afternoon
1231,Jet Airways,Banglore,Delhi,0,4544,2019,180,Evening,Night
1232,Jet Airways,Delhi,Cochin,1,16079,2019,395,Evening,Night
1233,Jet Airways,Kolkata,Banglore,1,7064,2019,1640,Afternoon,Evening
1234,Jet Airways,Delhi,Cochin,1,15554,2019,300,Afternoon,Evening
1235,SpiceJet,Chennai,Kolkata,0,3543,2019,135,Morning,Afternoon
1236,Air India,Banglore,Delhi,0,6121,2019,170,Afternoon,Afternoon
1237,IndiGo,Delhi,Cochin,1,8075,2019,425,Morning,Afternoon
1238,Multiple carriers,Delhi,Cochin,1,13377,2019,840,Morning,Night
1239,Jet Airways,Kolkata,Banglore,1,14571,2019,345,Afternoon,Evening
1240,SpiceJet,Banglore,Delhi,0,3919,2019,160,Night,Morning
1241,Jet Airways,Kolkata,Banglore,1,14231,2019,590,Evening,Night
1242,IndiGo,Mumbai,Hyderabad,0,2754,2019,85,Evening,Evening
1243,Air India,Delhi,Cochin,1,8067,2019,320,Evening,Night
1244,Vistara,Kolkata,Banglore,1,8452,2019,930,Morning,Night
1245,Jet Airways,Banglore,New Delhi,1,15025,2019,1280,Afternoon,Morning
1247,Jet Airways,Delhi,Cochin,1,15103,2019,350,Afternoon,Evening
1248,Jet Airways,Kolkata,Banglore,1,8586,2019,875,Afternoon,Night
1249,Jet Airways,Kolkata,Banglore,1,10844,2019,475,Morning,Afternoon
1250,Jet Airways,Delhi,Cochin,1,12898,2019,395,Evening,Night
1251,Jet Airways,Kolkata,Banglore,1,8586,2019,1545,Morning,Morning
1252,Multiple carriers,Delhi,Cochin,1,11622,2019,630,Morning,Evening
1253,Air India,Delhi,Cochin,2,13538,2019,1855,Afternoon,Evening
1254,Jet Airways,Delhi,Cochin,2,13014,2019,1375,Night,Night
1255,Jet Airways,Kolkata,Banglore,1,13941,2019,910,Evening,Morning
1256,Jet Airways,Kolkata,Banglore,1,14151,2019,1520,Morning,Morning
1257,Multiple carriers,Delhi,Cochin,1,13542,2019,485,Evening,Night
1258,IndiGo,Delhi,Cochin,1,6558,2019,940,Morning,Night
1259,Air Asia,Kolkata,Banglore,1,5192,2019,710,Morning,Evening
1260,Vistara,Banglore,Delhi,0,4878,2019,160,Morning,Morning
1261,Jet Airways,Delhi,Cochin,1,12898,2019,1295,Afternoon,Afternoon
1262,Air India,Delhi,Cochin,1,7384,2019,320,Evening,Night
1263,GoAir,Banglore,Delhi,0,3898,2019,175,Morning,Morning
1264,Air Asia,Banglore,Delhi,0,3383,2019,170,Night,Night
1265,IndiGo,Delhi,Cochin,1,6093,2019,860,Morning,Evening
1266,Multiple carriers,Delhi,Cochin,1,12192,2019,660,Morning,Evening
1267,Multiple carriers,Delhi,Cochin,1,6795,2019,760,Afternoon,Night
1268,Jet Airways,Banglore,New Delhi,1,11455,2019,1480,Morning,Morning
1269,IndiGo,Chennai,Kolkata,0,3540,2019,165,Afternoon,Evening
1270,Multiple carriers,Delhi,Cochin,1,15898,2019,615,Morning,Evening
1271,Multiple carriers,Delhi,Cochin,1,9718,2019,660,Morning,Evening
1272,GoAir,Kolkata,Banglore,1,7831,2019,455,Afternoon,Night
1273,IndiGo,Delhi,Cochin,1,6416,2019,750,Morning,Evening
1274,Vistara,Chennai,Kolkata,0,3739,2019,135,Morning,Morning
1275,Vistara,Kolkata,Banglore,1,8085,2019,975,Morning,Night
1276,IndiGo,Banglore,Delhi,0,4823,2019,180,Afternoon,Evening
1277,Jet Airways,Delhi,Cochin,2,13376,2019,1320,Afternoon,Afternoon
1278,Vistara,Kolkata,Banglore,1,8452,2019,865,Evening,Morning
1279,Jet Airways,Kolkata,Banglore,1,10844,2019,1595,Evening,Night
1280,Vistara,Delhi,Cochin,0,4851,2019,190,Morning,Morning
1281,Multiple carriers,Delhi,Cochin,1,6795,2019,390,Evening,Night
1282,IndiGo,Banglore,Delhi,0,4823,2019,170,Morning,Morning
1283,Jet Airways,Delhi,Cochin,1,10577,2019,450,Evening,Night
1284,Jet Airways,Delhi,Cochin,1,12032,2019,1375,Evening,Evening
1285,Air Asia,Delhi,Cochin,1,9330,2019,330,Morning,Afternoon
1286,Vistara,Kolkata,Banglore,1,8977,2019,355,Evening,Night
1287,Multiple carriers,Delhi,Cochin,1,7005,2019,490,Afternoon,Evening
1288,Jet Airways,Kolkata,Banglore,1,10844,2019,400,Afternoon,Evening
1289,Multiple carriers,Delhi,Cochin,1,12192,2019,525,Night,Afternoon
1290,Air India,Banglore,New Delhi,0,4441,2019,165,Morning,Afternoon
1291,Multiple carriers,Delhi,Cochin,1,7575,2019,520,Morning,Evening
1292,IndiGo,Kolkata,Banglore,0,4804,2019,155,Night,Morning
1293,SpiceJet,Chennai,Kolkata,0,3597,2019,135,Morning,Afternoon
1294,Air India,Kolkata,Banglore,1,10413,2019,1615,Evening,Evening
1295,Jet Airways,Banglore,Delhi,0,8016,2019,165,Morning,Morning
1296,Jet Airways,Kolkata,Banglore,1,10844,2019,960,Evening,Afternoon
1297,Jet Airways,Kolkata,Banglore,1,9663,2019,1010,Afternoon,Morning
1298,IndiGo,Delhi,Cochin,1,6069,2019,305,Evening,Night
1299,IndiGo,Delhi,Cochin,1,6442,2019,635,Morning,Night
1300,Multiple carriers,Delhi,Cochin,1,13587,2019,720,Morning,Evening
1301,Air India,Mumbai,Hyderabad,0,3100,2019,75,Evening,Evening
1302,Jet Airways,Kolkata,Banglore,1,14781,2019,705,Morning,Evening
1303,Jet Airways,Delhi,Cochin,1,12898,2019,1270,Evening,Evening
1304,IndiGo,Kolkata,Banglore,0,4804,2019,150,Afternoon,Afternoon
1305,SpiceJet,Kolkata,Banglore,0,4174,2019,145,Morning,Morning
1306,IndiGo,Banglore,Delhi,0,4591,2019,170,Night,Night
1307,Jet Airways,Kolkata,Banglore,1,9663,2019,1640,Afternoon,Evening
1308,Multiple carriers,Delhi,Cochin,1,8266,2019,630,Morning,Evening
1309,IndiGo,Banglore,Delhi,0,4823,2019,175,Morning,Morning
1310,Air India,Delhi,Cochin,0,6094,2019,185,Evening,Evening
1311,Jet Airways,Kolkata,Banglore,1,14178,2019,450,Evening,Night
1312,Jet Airways,Delhi,Cochin,2,13376,2019,1790,Morning,Afternoon
1313,Air India,Mumbai,Hyderabad,0,2575,2019,80,Evening,Night
1314,Vistara,Mumbai,Hyderabad,1,12395,2019,745,Morning,Evening
1315,IndiGo,Delhi,Cochin,1,10351,2019,710,Morning,Evening
1316,Air Asia,Kolkata,Banglore,1,5192,2019,955,Morning,Night
1317,Multiple carriers,Delhi,Cochin,1,7670,2019,490,Afternoon,Evening
1319,Jet Airways,Kolkata,Banglore,1,14151,2019,1295,Evening,Evening
1320,IndiGo,Kolkata,Banglore,1,4775,2019,290,Afternoon,Evening
1321,Air India,Delhi,Cochin,2,12865,2019,1220,Afternoon,Morning
1322,Air India,Mumbai,Hyderabad,0,5462,2019,75,Evening,Evening
1323,SpiceJet,Delhi,Cochin,1,8382,2019,310,Morning,Morning
1324,Jet Airways,Banglore,Delhi,0,4544,2019,180,Evening,Evening
1325,Jet Airways,Banglore,Delhi,0,4544,2019,175,Afternoon,Evening
1326,Jet Airways,Kolkata,Banglore,1,14781,2019,425,Afternoon,Night
1327,SpiceJet,Delhi,Cochin,1,5158,2019,270,Morning,Afternoon
1328,Jet Airways,Mumbai,Hyderabad,0,5678,2019,90,Afternoon,Evening
1329,Jet Airways,Delhi,Cochin,2,18804,2019,440,Morning,Evening
1330,IndiGo,Mumbai,Hyderabad,0,4049,2019,90,Morning,Morning
1331,IndiGo,Kolkata,Banglore,0,6565,2019,165,Morning,Afternoon
1332,Jet Airways,Delhi,Cochin,1,12373,2019,1100,Evening,Afternoon
1333,Air India,Banglore,New Delhi,0,4441,2019,165,Evening,Evening
1334,SpiceJet,Chennai,Kolkata,0,3597,2019,140,Evening,Evening
1335,Jet Airways,Mumbai,Hyderabad,0,5678,2019,90,Evening,Evening
1336,Air India,Delhi,Cochin,2,10660,2019,1420,Morning,Morning
1337,Jet Airways,Banglore,Delhi,0,4544,2019,165,Morning,Morning
1338,IndiGo,Banglore,Delhi,0,4823,2019,170,Morning,Morning
1339,Air India,Kolkata,Banglore,2,14214,2019,525,Afternoon,Night
1340,Jet Airways,Kolkata,Banglore,1,14781,2019,475,Morning,Afternoon
1342,Jet Airways,Delhi,Cochin,1,14053,2019,1415,Evening,Evening
1343,Jet Airways,Delhi,Cochin,1,10262,2019,1270,Evening,Evening
1344,IndiGo,Banglore,Delhi,0,4823,2019,170,Evening,Night
1345,Air India,Delhi,Cochin,1,8361,2019,875,Evening,Morning
1347,Multiple carriers,Delhi,Cochin,1,17057,2019,375,Morning,Afternoon
1349,IndiGo,Delhi,Cochin,1,5883,2019,845,Morning,Night
1350,Jet Airways,Delhi,Cochin,1,12898,2019,450,Morning,Evening
1351,Jet Airways,Delhi,Cochin,1,16079,2019,1005,Night,Evening
1352,Multiple carriers,Delhi,Cochin,1,10678,2019,460,Night,Afternoon
1353,Air India,Banglore,New Delhi,2,20999,2019,1705,Morning,Morning
1354,IndiGo,Banglore,New Delhi,1,6575,2019,300,Evening,Night
1355,Jet Airways,Delhi,Cochin,2,15129,2019,535,Evening,Night
1356,Jet Airways,Kolkata,Banglore,1,10844,2019,1400,Evening,Evening
1357,Air India,Banglore,New Delhi,1,11654,2019,855,Morning,Night
1358,IndiGo,Kolkata,Banglore,1,5069,2019,290,Morning,Afternoon
1359,Air India,Banglore,Delhi,0,5176,2019,165,Morning,Morning
1360,Jet Airways,Delhi,Cochin,2,13292,2019,1375,Night,Night
1361,IndiGo,Delhi,Cochin,1,6386,2019,345,Night,Morning
1362,Jet Airways,Delhi,Cochin,2,15129,2019,1775,Afternoon,Evening
1363,Air India,Kolkata,Banglore,0,4435,2019,155,Evening,Night
1364,IndiGo,Banglore,Delhi,0,4591,2019,170,Night,Night
1365,Jet Airways,Banglore,New Delhi,1,7832,2019,1035,Night,Night
1366,IndiGo,Kolkata,Banglore,0,4174,2019,155,Night,Morning
1367,Multiple carriers,Delhi,Cochin,1,6148,2019,510,Morning,Afternoon
1368,Multiple carriers,Delhi,Cochin,1,9149,2019,600,Morning,Evening
1369,Multiple carriers,Delhi,Cochin,2,6128,2019,495,Afternoon,Evening
1370,IndiGo,Delhi,Cochin,1,6412,2019,370,Afternoon,Night
1371,Multiple carriers,Delhi,Cochin,1,8073,2019,780,Morning,Evening
1372,Jet Airways,Delhi,Cochin,0,4256,2019,195,Morning,Afternoon
1373,Air India,Kolkata,Banglore,2,14634,2019,1165,Morning,Night
1374,Multiple carriers,Delhi,Cochin,1,14067,2019,480,Afternoon,Evening
1375,IndiGo,Kolkata,Banglore,0,4804,2019,155,Afternoon,Evening
1376,SpiceJet,Kolkata,Banglore,0,4911,2019,150,Evening,Evening
1377,IndiGo,Delhi,Cochin,1,6412,2019,380,Afternoon,Night
1378,SpiceJet,Chennai,Kolkata,0,3543,2019,135,Morning,Morning
1379,IndiGo,Chennai,Kolkata,0,3858,2019,145,Morning,Afternoon
1380,Air India,Kolkata,Banglore,2,9941,2019,1195,Afternoon,Morning
1381,Jet Airways,Banglore,Delhi,0,7229,2019,180,Morning,Morning
1382,GoAir,Banglore,New Delhi,1,8352,2019,270,Afternoon,Evening
1383,Jet Airways,Kolkata,Banglore,1,14151,2019,750,Morning,Night
1384,Multiple carriers,Delhi,Cochin,1,6795,2019,465,Evening,Night
1385,IndiGo,Kolkata,Banglore,0,4804,2019,155,Evening,Night
1386,Air India,Delhi,Cochin,1,6587,2019,1535,Night,Morning
1387,GoAir,Delhi,Cochin,1,4106,2019,370,Morning,Afternoon
1388,Air India,Kolkata,Banglore,0,5510,2019,150,Afternoon,Afternoon
1389,Jet Airways,Delhi,Cochin,2,15129,2019,560,Morning,Evening
1390,Jet Airways,Delhi,Cochin,2,13029,2019,1125,Morning,Night
1391,IndiGo,Delhi,Cochin,1,6582,2019,315,Morning,Afternoon
1392,Multiple carriers,Delhi,Cochin,1,5797,2019,465,Evening,Night
1393,Jet Airways,Kolkata,Banglore,1,12692,2019,870,Evening,Morning
1394,SpiceJet,Chennai,Kolkata,0,3332,2019,135,Morning,Morning
1395,Air India,Kolkata,Banglore,2,10151,2019,1195,Afternoon,Morning
1396,IndiGo,Delhi,Cochin,1,5046,2019,325,Night,Morning
1397,Air India,Delhi,Cochin,1,8907,2019,1010,Morning,Night
1398,Air India,Banglore,Delhi,0,5228,2019,170,Evening,Night
1399,IndiGo,Delhi,Cochin,1,13753,2019,275,Night,Morning
1400,Jet Airways,Banglore,New Delhi,1,11087,2019,745,Morning,Evening
1401,Jet Airways,Kolkata,Banglore,1,14781,2019,570,Afternoon,Night
1402,IndiGo,Kolkata,Banglore,0,5224,2019,155,Morning,Afternoon
1403,Jet Airways,Banglore,Delhi,0,3702,2019,175,Afternoon,Evening
1404,IndiGo,Mumbai,Hyderabad,0,2754,2019,85,Evening,Evening
1405,Air Asia,Banglore,Delhi,0,3383,2019,165,Morning,Afternoon
1406,Air India,Banglore,Delhi,0,5228,2019,170,Afternoon,Afternoon
1407,IndiGo,Delhi,Cochin,1,5054,2019,305,Evening,Night
1408,Jet Airways,Banglore,New Delhi,1,13555,2019,615,Morning,Evening
1409,Multiple carriers,Delhi,Cochin,1,7408,2019,510,Evening,Night
1410,IndiGo,Kolkata,Banglore,0,5224,2019,150,Afternoon,Afternoon
1411,IndiGo,Banglore,New Delhi,1,9694,2019,295,Afternoon,Evening
1412,IndiGo,Delhi,Cochin,1,7318,2019,505,Evening,Night
1413,IndiGo,Delhi,Cochin,1,5054,2019,275,Morning,Afternoon
1414,Jet Airways,Banglore,Delhi,0,4030,2019,185,Evening,Night
1415,Jet Airways,Banglore,New Delhi,1,16736,2019,625,Morning,Evening
1416,Air India,Mumbai,Hyderabad,0,2050,2019,75,Evening,Evening
1417,Air India,Mumbai,Hyderabad,2,9977,2019,795,Night,Afternoon
1419,IndiGo,Delhi,Cochin,1,6755,2019,355,Morning,Afternoon
1420,Jet Airways,Banglore,Delhi,0,3502,2019,175,Afternoon,Evening
1421,Air India,Banglore,Delhi,0,6961,2019,165,Morning,Afternoon
1422,Jet Airways,Banglore,Delhi,0,4544,2019,175,Afternoon,Evening
1423,SpiceJet,Kolkata,Banglore,0,3841,2019,150,Afternoon,Evening
1425,Vistara,Kolkata,Banglore,1,9502,2019,1555,Morning,Morning
1426,Air India,Mumbai,Hyderabad,0,3100,2019,80,Morning,Morning
1427,SpiceJet,Banglore,Delhi,0,4319,2019,160,Night,Morning
1428,IndiGo,Mumbai,Hyderabad,0,2227,2019,95,Evening,Evening
1429,SpiceJet,Kolkata,Banglore,0,5831,2019,140,Night,Night
1430,IndiGo,Kolkata,Banglore,0,4804,2019,160,Evening,Night
1431,IndiGo,Delhi,Cochin,1,5458,2019,275,Morning,Afternoon
1432,Jet Airways,Banglore,Delhi,0,7229,2019,185,Evening,Night
1433,Jet Airways,Kolkata,Banglore,1,14571,2019,910,Evening,Morning
1434,SpiceJet,Banglore,Delhi,0,3919,2019,175,Evening,Night
1435,Multiple carriers,Delhi,Cochin,1,6916,2019,545,Morning,Afternoon
1436,Jet Airways,Delhi,Cochin,1,6960,2019,925,Afternoon,Night
1437,Jet Airways,Banglore,New Delhi,1,16757,2019,280,Morning,Afternoon
1438,IndiGo,Delhi,Cochin,1,14871,2019,575,Afternoon,Night
1439,IndiGo,Delhi,Cochin,1,5054,2019,275,Morning,Afternoon
1440,Air India,Delhi,Cochin,2,12488,2019,1855,Afternoon,Evening
1441,IndiGo,Banglore,Delhi,0,4823,2019,175,Evening,Evening
1443,Air India,Delhi,Cochin,2,11989,2019,1560,Evening,Evening
1444,Jet Airways,Delhi,Cochin,1,16079,2019,1210,Night,Evening
1445,Jet Airways,Kolkata,Banglore,1,13067,2019,1520,Morning,Morning
1446,IndiGo,Delhi,Cochin,1,6818,2019,665,Night,Afternoon
1447,Jet Airways,Kolkata,Banglore,1,13941,2019,1430,Morning,Morning
1448,Multiple carriers,Delhi,Cochin,1,12927,2019,600,Morning,Evening
1449,IndiGo,Kolkata,Banglore,0,4804,2019,155,Night,Night
1450,Jet Airways,Delhi,Cochin,1,5406,2019,1235,Afternoon,Afternoon
1451,IndiGo,Delhi,Cochin,1,7318,2019,890,Morning,Night
1452,IndiGo,Chennai,Kolkata,0,3384,2019,140,Morning,Morning
1453,Air Asia,Delhi,Cochin,1,11410,2019,590,Evening,Morning
1454,Jet Airways,Banglore,New Delhi,1,9134,2019,450,Night,Afternoon
1455,Jet Airways,Banglore,New Delhi,1,7832,2019,435,Afternoon,Evening
1456,Jet Airways,Banglore,New Delhi,1,14815,2019,1365,Morning,Morning
1457,IndiGo,Banglore,Delhi,0,4591,2019,170,Night,Night
1458,Jet Airways,Delhi,Cochin,1,12373,2019,1210,Night,Evening
1459,Air Asia,Banglore,New Delhi,0,4284,2019,170,Night,Morning
1460,Jet Airways,Kolkata,Banglore,1,13941,2019,1375,Night,Night
1461,Jet Airways,Delhi,Cochin,1,16289,2019,1525,Evening,Evening
1462,IndiGo,Delhi,Cochin,1,9165,2019,305,Night,Night
1463,Jet Airways,Banglore,Delhi,0,8016,2019,165,Morning,Morning
1464,Air Asia,Kolkata,Banglore,1,5192,2019,720,Night,Morning
1465,Jet Airways,Kolkata,Banglore,1,14939,2019,665,Evening,Morning
1467,Multiple carriers,Delhi,Cochin,1,14502,2019,540,Morning,Evening
1468,Jet Airways,Banglore,New Delhi,1,13817,2019,810,Night,Afternoon
1469,Jet Airways,Kolkata,Banglore,1,14151,2019,505,Morning,Evening
1470,Multiple carriers,Delhi,Cochin,1,15077,2019,510,Morning,Evening
1471,Multiple carriers,Delhi,Cochin,1,12192,2019,600,Morning,Evening
1472,SpiceJet,Mumbai,Hyderabad,0,1965,2019,90,Afternoon,Afternoon
1473,IndiGo,Chennai,Kolkata,0,3850,2019,140,Morning,Morning
1474,IndiGo,Mumbai,Hyderabad,0,3175,2019,90,Afternoon,Evening
1475,Jet Airways,Banglore,Delhi,0,7229,2019,185,Evening,Night
1476,Jet Airways,Delhi,Cochin,1,16079,2019,1425,Evening,Evening
1477,IndiGo,Mumbai,Hyderabad,0,4392,2019,90,Morning,Morning
1479,Jet Airways,Delhi,Cochin,2,10368,2019,560,Morning,Evening
1480,Jet Airways,Delhi,Cochin,1,12898,2019,1210,Night,Evening
1481,Air India,Kolkata,Banglore,2,14960,2019,1185,Afternoon,Afternoon
1482,IndiGo,Delhi,Cochin,1,6442,2019,835,Morning,Night
1483,SpiceJet,Chennai,Kolkata,0,3597,2019,135,Morning,Morning
1484,Jet Airways,Delhi,Cochin,2,18804,2019,440,Morning,Evening
1485,Vistara,Delhi,Cochin,0,6111,2019,190,Morning,Morning
1486,IndiGo,Delhi,Cochin,0,6015,2019,195,Evening,Night
1487,Air India,Banglore,Delhi,0,6121,2019,170,Afternoon,Afternoon
1488,Jet Airways,Kolkata,Banglore,1,6287,2019,435,Morning,Evening
1489,Jet Airways,Banglore,Delhi,0,7229,2019,175,Afternoon,Evening
1490,IndiGo,Delhi,Cochin,1,6442,2019,455,Morning,Afternoon
1491,Jet Airways,Banglore,Delhi,0,4544,2019,175,Afternoon,Evening
1492,Air India,Kolkata,Banglore,2,11542,2019,1700,Morning,Afternoon
1493,Jet Airways,Delhi,Cochin,1,16079,2019,520,Evening,Night
1494,Multiple carriers,Delhi,Cochin,1,6076,2019,545,Morning,Afternoon
1495,Air India,Kolkata,Banglore,2,10408,2019,920,Morning,Night
1497,GoAir,Banglore,New Delhi,0,13663,2019,175,Morning,Morning
1498,Air India,Delhi,Cochin,1,10671,2019,705,Evening,Morning
1499,Air Asia,Banglore,Delhi,0,3383,2019,170,Night,Night
1500,Multiple carriers,Delhi,Cochin,1,9021,2019,910,Morning,Night
1501,Multiple carriers,Delhi,Cochin,1,14533,2019,615,Morning,Evening
1502,Jet Airways,Delhi,Cochin,2,11992,2019,1000,Morning,Night
1503,IndiGo,Chennai,Kolkata,0,3597,2019,140,Afternoon,Afternoon
1504,IndiGo,Banglore,Delhi,0,4077,2019,165,Night,Night
1505,Multiple carriers,Delhi,Cochin,1,9646,2019,545,Morning,Afternoon
1506,SpiceJet,Kolkata,Banglore,0,3873,2019,140,Night,Night
1507,Jet Airways,Delhi,Cochin,2,15129,2019,1430,Evening,Evening
1508,IndiGo,Delhi,Cochin,1,6104,2019,480,Evening,Night
1509,Jet Airways,Delhi,Cochin,2,16022,2019,1995,Evening,Night
