Gone,JoinDate,Age,BusinessTravel,DistanceFromHome,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PerformanceRating
No,6/14/2021,36,Travel_Rarely,6,4,Male,3,1,Laboratory Technician,4,Married,3210,0,3
No,10/16/2021,55,Travel_Rarely,1,4,Male,3,5,Manager,1,Single,19045,0,3
Yes,2/9/2019,47,Non-Travel,29,1,Male,3,3,Manager,2,Married,11849,1,3
No,8/29/2021,28,Travel_Rarely,9,4,Male,3,1,Research Scientist,4,Married,2070,1,4
No,11/5/2021,37,Travel_Rarely,6,3,Male,3,2,Sales Executive,4,Married,6502,4,3
No,10/31/2021,21,Travel_Rarely,3,4,Male,2,1,Research Scientist,3,Single,3230,1,3
No,11/12/2021,37,Non-Travel,1,1,Female,3,3,Research Director,4,Divorced,13603,2,3
No,3/17/2020,35,Travel_Rarely,22,2,Female,4,3,Manager,2,Divorced,11996,7,3
No,2/22/2020,38,Travel_Rarely,7,1,Female,4,2,Sales Executive,1,Divorced,5605,1,4
No,6/23/2020,26,Travel_Frequently,1,3,Female,3,2,Manufacturing Director,2,Divorced,6397,1,4
No,3/8/2019,50,Travel_Rarely,4,1,Male,3,5,Research Director,2,Divorced,19144,3,3
No,12/26/2019,53,Travel_Rarely,3,3,Male,3,4,Research Director,3,Married,17584,3,3
No,6/25/2021,42,Travel_Rarely,1,2,Male,3,2,Sales Executive,3,Married,4907,1,4
No,8/27/2020,29,Travel_Frequently,2,2,Male,3,2,Sales Executive,4,Single,4554,1,3
No,2/1/2019,55,Travel_Rarely,20,2,Male,3,2,Laboratory Technician,4,Married,5415,3,3
No,1/13/2020,26,Travel_Frequently,11,1,Male,3,2,Healthcare Representative,1,Married,4741,1,3
No,8/13/2020,37,Travel_Rarely,1,4,Female,3,1,Research Scientist,4,Single,2115,1,3
Yes,6/23/2019,44,Travel_Frequently,24,4,Male,3,1,Laboratory Technician,3,Divorced,3161,3,4
No,6/10/2019,38,Travel_Rarely,23,4,Male,3,2,Healthcare Representative,4,Divorced,5745,9,3
Yes,2/21/2021,26,Travel_Rarely,16,1,Male,3,1,Laboratory Technician,2,Divorced,2373,2,3
No,9/24/2019,28,Travel_Rarely,8,4,Female,3,1,Research Scientist,4,Single,3310,1,4
No,7/23/2019,49,Travel_Frequently,10,3,Female,3,5,Research Director,1,Single,18665,9,3
No,6/10/2020,36,Travel_Rarely,3,3,Male,3,2,Research Scientist,2,Single,4485,4,3
No,6/24/2019,31,Travel_Frequently,5,4,Female,3,1,Sales Representative,2,Divorced,2789,1,3
Yes,7/30/2020,26,Travel_Rarely,4,4,Male,2,2,Sales Executive,4,Single,5828,1,3
No,4/15/2019,37,Travel_Frequently,9,2,Male,3,1,Research Scientist,4,Married,2326,1,3
No,12/20/2020,42,Travel_Frequently,26,3,Female,3,4,Sales Executive,2,Married,13525,5,3
Yes,10/23/2021,18,Travel_Rarely,3,3,Male,3,1,Laboratory Technician,3,Single,1420,1,3
No,4/5/2020,35,Travel_Rarely,16,3,Male,3,3,Sales Executive,2,Married,8020,0,3
No,10/15/2021,36,Travel_Frequently,18,3,Male,4,1,Laboratory Technician,4,Married,3688,4,3
No,2/5/2020,51,Travel_Rarely,2,4,Male,1,2,Manufacturing Director,2,Divorced,5482,5,3
No,9/17/2021,41,Travel_Rarely,2,4,Male,3,4,Manager,2,Single,16015,1,3
No,12/29/2020,18,Travel_Rarely,10,4,Female,2,1,Sales Representative,3,Single,1200,1,3
No,2/14/2019,28,Travel_Rarely,16,2,Male,4,2,Healthcare Representative,1,Single,5661,0,3
No,10/31/2019,31,Travel_Rarely,7,2,Male,4,2,Sales Executive,4,Married,6929,4,3
No,9/24/2019,39,Travel_Rarely,1,3,Male,4,3,Healthcare Representative,4,Divorced,9613,0,3
No,11/18/2020,36,Non-Travel,24,2,Female,3,2,Laboratory Technician,2,Married,5674,7,3
No,7/10/2021,32,Travel_Rarely,7,4,Male,2,2,Sales Executive,3,Married,5484,1,3
No,3/23/2021,38,Travel_Rarely,25,1,Female,2,3,Research Director,2,Married,12061,3,3
No,6/20/2021,58,Non-Travel,1,4,Male,1,2,Healthcare Representative,3,Divorced,5660,2,3
No,11/28/2019,31,Travel_Rarely,5,3,Male,3,1,Research Scientist,4,Married,4821,0,3
No,8/15/2021,31,Travel_Rarely,2,1,Male,2,2,Human Resources,1,Married,6410,3,3
No,4/10/2019,45,Travel_Frequently,7,1,Male,3,3,Laboratory Technician,1,Divorced,5210,1,3
No,10/2/2020,31,Travel_Rarely,2,3,Male,3,1,Research Scientist,4,Divorced,2695,0,3
No,5/7/2020,33,Travel_Frequently,5,4,Female,3,3,Manager,2,Married,11878,6,3
No,5/4/2020,39,Travel_Rarely,10,3,Male,3,4,Manager,1,Married,17068,1,3
No,9/2/2019,43,Travel_Frequently,10,3,Female,3,1,Laboratory Technician,4,Single,2455,0,3
No,8/19/2021,49,Travel_Rarely,1,3,Female,2,4,Healthcare Representative,3,Single,13964,7,3
Yes,4/26/2020,52,Travel_Rarely,8,3,Male,2,2,Research Scientist,2,Married,4941,2,3
No,10/10/2021,27,Travel_Rarely,5,3,Female,3,1,Research Scientist,2,Single,2478,1,3
No,4/11/2020,32,Travel_Rarely,8,3,Female,2,2,Sales Executive,2,Married,5228,1,3
No,3/15/2019,27,Travel_Rarely,2,4,Male,3,2,Sales Executive,3,Single,4478,1,3
No,7/6/2020,31,Travel_Rarely,7,4,Male,3,2,Sales Executive,4,Divorced,7547,4,3
No,6/29/2020,32,Travel_Rarely,2,1,Female,4,2,Research Scientist,4,Single,5055,7,3
Yes,8/15/2019,28,Travel_Rarely,2,1,Male,1,1,Research Scientist,4,Married,3464,5,3
No,6/4/2021,30,Travel_Rarely,28,4,Female,3,2,Research Scientist,4,Married,5775,1,3
No,7/8/2021,31,Travel_Frequently,7,3,Female,2,3,Manufacturing Director,3,Married,8943,1,4
No,8/27/2019,39,Travel_Frequently,7,3,Male,2,5,Manager,4,Married,19272,1,3
Yes,8/1/2019,39,Travel_Rarely,3,4,Female,3,2,Sales Executive,3,Married,5238,4,3
No,10/14/2021,33,Travel_Frequently,10,2,Male,2,2,Sales Executive,4,Single,4682,3,3
No,8/25/2020,47,Travel_Rarely,5,4,Male,3,5,Research Director,3,Married,18300,4,3
No,8/10/2020,43,Travel_Frequently,10,3,Female,2,2,Laboratory Technician,3,Divorced,5257,1,3
No,10/7/2021,27,Non-Travel,1,3,Male,3,2,Sales Executive,2,Married,6349,0,3
No,10/24/2019,54,Travel_Frequently,20,4,Female,3,2,Research Scientist,3,Single,4869,3,3
No,3/19/2021,43,Travel_Rarely,7,3,Female,3,3,Healthcare Representative,1,Married,9985,8,3
No,3/4/2020,45,Travel_Rarely,8,4,Male,3,2,Research Scientist,4,Married,3697,9,3
No,6/19/2019,40,Travel_Rarely,1,2,Male,1,2,Sales Executive,4,Married,7457,2,4
Yes,11/6/2021,29,Travel_Rarely,8,2,Male,1,1,Laboratory Technician,1,Married,2119,1,3
No,11/12/2021,29,Travel_Rarely,9,2,Male,2,1,Laboratory Technician,4,Single,3983,0,3
No,12/15/2019,30,Travel_Rarely,5,4,Female,2,2,Sales Executive,3,Divorced,6118,1,3
No,9/18/2020,27,Travel_Rarely,8,2,Female,3,2,Sales Executive,2,Married,6214,1,3
No,11/27/2021,37,Travel_Rarely,5,4,Male,3,2,Manufacturing Director,4,Divorced,6347,7,3
No,3/5/2020,38,Travel_Rarely,15,3,Male,2,3,Research Director,4,Divorced,11510,0,3
No,1/13/2021,31,Travel_Rarely,7,3,Female,3,3,Manufacturing Director,4,Single,7143,1,3
No,10/10/2021,29,Travel_Rarely,10,4,Female,2,2,Sales Executive,2,Divorced,8268,1,3
No,5/23/2019,35,Travel_Rarely,5,3,Male,3,3,Manufacturing Director,2,Single,8095,0,3
No,1/17/2020,23,Travel_Rarely,26,3,Male,3,1,Research Scientist,4,Divorced,2904,1,3
No,4/10/2021,41,Travel_Rarely,6,4,Male,2,2,Manufacturing Director,2,Single,6032,6,3
No,1/2/2020,47,Travel_Frequently,4,2,Male,3,2,Sales Representative,3,Single,2976,3,3
No,4/13/2021,42,Travel_Rarely,23,1,Female,3,4,Research Director,4,Single,15992,2,3
No,2/7/2019,29,Non-Travel,2,4,Male,3,2,Sales Executive,3,Married,4649,1,3
No,11/4/2021,42,Travel_Rarely,2,3,Male,3,1,Human Resources,3,Divorced,2696,0,3
No,7/16/2019,32,Travel_Rarely,2,3,Female,3,1,Laboratory Technician,2,Married,2370,1,3
No,6/8/2021,48,Travel_Rarely,29,1,Female,3,3,Manager,3,Married,12504,3,4
No,2/27/2020,37,Travel_Rarely,6,3,Male,4,2,Research Scientist,1,Divorced,5974,4,3
No,3/1/2020,30,Non-Travel,25,4,Female,3,2,Sales Executive,3,Married,4736,7,3
No,1/6/2021,26,Travel_Rarely,1,3,Male,3,2,Sales Executive,3,Married,5296,1,3
No,5/13/2021,42,Travel_Rarely,2,1,Male,2,2,Healthcare Representative,4,Single,6781,3,4
Yes,12/29/2019,21,Travel_Frequently,1,1,Female,2,1,Sales Representative,2,Single,2174,1,3
No,12/2/2021,36,Non-Travel,1,4,Female,3,2,Sales Executive,4,Single,6653,4,3
No,1/26/2019,36,Travel_Frequently,3,1,Male,2,3,Sales Executive,4,Married,9699,4,3
No,5/10/2020,57,Travel_Rarely,1,4,Male,3,2,Healthcare Representative,3,Married,6755,2,3
No,6/12/2021,40,Travel_Rarely,10,4,Female,4,1,Laboratory Technician,3,Married,2213,3,3
No,12/24/2019,21,Non-Travel,9,1,Male,3,1,Sales Representative,4,Single,2610,1,4
Yes,2/13/2019,33,Travel_Rarely,5,4,Female,3,1,Sales Representative,3,Single,2851,1,3
No,6/29/2021,37,Travel_Rarely,10,3,Female,3,1,Laboratory Technician,1,Married,3452,6,4
No,12/6/2021,46,Non-Travel,7,3,Female,3,2,Manufacturing Director,3,Married,5258,2,3
Yes,10/23/2020,41,Travel_Frequently,4,1,Male,3,2,Sales Executive,2,Single,9355,1,3
No,6/13/2021,50,Travel_Rarely,10,4,Male,2,3,Healthcare Representative,4,Single,10496,6,3
Yes,3/31/2021,40,Travel_Rarely,22,3,Male,2,2,Sales Executive,3,Married,6380,2,3
No,1/10/2019,31,Travel_Rarely,9,3,Male,2,1,Research Scientist,2,Single,2657,0,3
Yes,9/27/2021,21,Travel_Rarely,12,3,Female,4,1,Sales Representative,2,Single,2716,1,3
No,9/20/2021,29,Travel_Rarely,23,4,Male,3,1,Research Scientist,4,Single,2201,9,3
No,2/6/2020,35,Travel_Rarely,9,3,Male,2,2,Healthcare Representative,2,Single,6540,9,3
No,4/20/2020,27,Travel_Rarely,1,4,Male,3,1,Laboratory Technician,2,Divorced,3816,1,3
No,11/6/2020,28,Travel_Rarely,9,2,Male,3,2,Sales Executive,4,Single,5253,1,3
No,7/3/2020,49,Travel_Rarely,7,2,Male,2,3,Healthcare Representative,3,Single,10965,8,4
No,8/28/2020,51,Travel_Rarely,14,3,Female,3,2,Sales Executive,4,Married,4936,4,3
No,9/14/2020,36,Travel_Rarely,2,4,Female,3,1,Research Scientist,3,Married,2543,4,3
Yes,11/12/2021,34,Non-Travel,19,1,Male,4,2,Sales Executive,4,Single,5304,8,3
No,12/4/2021,55,Travel_Rarely,2,3,Female,3,4,Manager,4,Single,16659,2,3
No,1/10/2021,24,Travel_Rarely,10,4,Female,3,2,Sales Executive,3,Divorced,4260,1,3
No,12/26/2021,30,Travel_Rarely,2,3,Male,3,1,Sales Representative,2,Married,2476,1,3
Yes,4/14/2019,26,Travel_Frequently,3,3,Male,3,1,Research Scientist,1,Single,3102,0,4
No,4/2/2019,22,Travel_Rarely,11,1,Female,3,1,Research Scientist,2,Married,2244,1,3
No,8/23/2020,36,Travel_Rarely,2,2,Male,2,3,Sales Executive,3,Married,7596,1,3
Yes,9/18/2019,30,Travel_Frequently,4,3,Male,3,1,Research Scientist,4,Single,2285,9,4
No,11/4/2020,37,Travel_Rarely,14,4,Female,3,1,Laboratory Technician,1,Divorced,3034,1,3
No,1/16/2019,40,Travel_Rarely,2,4,Female,3,2,Sales Executive,2,Divorced,5715,7,3
No,8/10/2021,42,Travel_Rarely,1,2,Female,3,1,Laboratory Technician,1,Divorced,2576,3,3
No,4/1/2019,37,Travel_Rarely,10,3,Male,3,2,Manufacturing Director,2,Single,4197,2,3
No,9/27/2021,43,Travel_Rarely,12,1,Male,2,4,Research Director,2,Divorced,14336,1,3
No,10/26/2020,40,Travel_Rarely,2,2,Female,2,2,Laboratory Technician,3,Married,3448,6,4
No,3/16/2020,54,Travel_Rarely,5,1,Male,3,5,Research Director,1,Married,19406,4,3
No,5/26/2019,34,Non-Travel,4,3,Female,3,2,Sales Executive,3,Married,6538,9,3
No,9/8/2019,31,Travel_Rarely,7,2,Female,3,2,Manufacturing Director,1,Married,4306,1,3
No,4/15/2021,43,Travel_Frequently,21,4,Male,3,1,Laboratory Technician,4,Married,2258,7,4
No,4/27/2019,43,Travel_Rarely,8,3,Female,3,2,Healthcare Representative,3,Divorced,4522,4,3
No,5/25/2019,25,Travel_Rarely,4,2,Female,2,2,Sales Executive,4,Single,4487,1,3
No,3/9/2020,37,Non-Travel,25,2,Female,3,2,Research Scientist,3,Married,4449,3,3
No,3/27/2019,31,Travel_Rarely,1,4,Male,2,1,Laboratory Technician,1,Married,2218,1,3
No,3/14/2019,39,Travel_Frequently,1,2,Male,3,5,Manager,3,Divorced,19197,1,3
No,9/6/2021,56,Travel_Frequently,6,3,Female,4,4,Sales Executive,1,Married,13212,9,3
No,4/4/2020,30,Travel_Rarely,12,2,Female,3,2,Sales Executive,3,Single,6577,0,3
No,8/3/2019,41,Travel_Rarely,1,2,Male,4,3,Sales Executive,1,Married,8392,1,3
No,11/26/2021,28,Travel_Rarely,17,3,Male,3,2,Laboratory Technician,1,Divorced,4558,1,3
Yes,11/3/2020,25,Travel_Rarely,3,1,Male,3,1,Laboratory Technician,1,Married,4031,5,3
No,6/2/2021,52,Travel_Rarely,3,4,Male,2,3,Manufacturing Director,3,Married,7969,2,3
No,8/19/2021,45,Travel_Rarely,10,1,Male,3,1,Research Scientist,4,Married,2654,3,4
No,8/22/2020,52,Travel_Rarely,4,4,Female,3,4,Manager,4,Married,16555,2,3
No,12/21/2019,42,Travel_Frequently,29,1,Female,3,2,Research Scientist,3,Divorced,4556,2,3
No,7/20/2021,30,Travel_Rarely,2,3,Female,1,2,Manufacturing Director,4,Single,6091,2,4
No,2/4/2021,60,Travel_Rarely,7,1,Female,3,5,Manager,1,Married,19566,5,3
No,3/8/2019,46,Travel_Rarely,18,3,Female,3,2,Manufacturing Director,3,Divorced,4810,2,3
No,2/10/2021,42,Travel_Frequently,28,4,Female,2,2,Healthcare Representative,4,Married,4523,0,3
Yes,7/8/2021,24,Travel_Rarely,1,1,Female,3,1,Sales Representative,2,Single,3202,1,3
Yes,2/13/2021,34,Travel_Frequently,6,4,Female,1,1,Sales Representative,3,Divorced,2351,0,3
No,7/4/2021,38,Travel_Frequently,2,4,Male,3,1,Laboratory Technician,4,Married,1702,1,4
No,6/20/2021,40,Travel_Rarely,2,3,Female,3,5,Manager,3,Married,18041,0,3
No,7/19/2020,26,Travel_Rarely,23,1,Female,3,1,Research Scientist,4,Divorced,2886,1,4
No,7/21/2020,30,Non-Travel,3,3,Male,3,1,Laboratory Technician,4,Married,2097,4,3
No,4/9/2021,29,Travel_Rarely,3,2,Male,2,3,Research Director,3,Married,11935,1,3
Yes,11/10/2021,29,Travel_Rarely,25,3,Female,2,1,Research Scientist,2,Married,2546,5,3
Yes,2/23/2020,19,Travel_Rarely,2,1,Male,2,1,Human Resources,4,Single,2564,1,3
No,3/3/2019,30,Non-Travel,22,3,Female,3,3,Sales Executive,1,Married,8412,0,3
No,3/31/2019,57,Travel_Rarely,29,1,Male,2,4,Manager,4,Divorced,14118,3,3
No,12/13/2019,50,Travel_Rarely,29,2,Male,2,4,Manager,3,Married,17046,0,3
No,12/20/2020,30,Non-Travel,2,3,Female,3,1,Laboratory Technician,4,Single,2564,0,3
No,5/31/2020,60,Travel_Frequently,28,3,Female,2,3,Sales Executive,1,Married,10266,4,3
No,4/16/2019,47,Travel_Rarely,2,1,Female,3,2,Manufacturing Director,4,Divorced,5070,5,3
No,12/3/2021,46,Travel_Rarely,2,1,Male,3,4,Research Director,3,Married,17861,6,3
No,4/14/2020,35,Travel_Rarely,22,4,Male,1,1,Laboratory Technician,3,Single,4230,0,3
No,3/2/2020,54,Travel_Rarely,8,3,Female,3,2,Laboratory Technician,3,Single,3780,7,3
No,11/22/2021,34,Travel_Rarely,2,4,Male,2,1,Research Scientist,3,Divorced,2768,3,3
No,7/15/2021,46,Travel_Rarely,10,3,Female,2,3,Sales Executive,4,Married,9071,2,3
No,4/16/2021,31,Travel_Rarely,9,3,Male,3,3,Manufacturing Director,2,Divorced,10648,1,4
Yes,2/16/2019,33,Travel_Rarely,15,2,Male,3,3,Manager,3,Married,13610,7,3
Yes,3/1/2019,33,Travel_Rarely,10,1,Male,1,1,Laboratory Technician,4,Divorced,3408,7,3
No,12/16/2020,30,Travel_Rarely,7,4,Male,3,1,Sales Representative,2,Single,2983,0,3
No,10/23/2021,35,Travel_Rarely,16,4,Male,3,3,Healthcare Representative,3,Married,7632,4,3
Yes,5/13/2020,31,Travel_Frequently,20,1,Male,3,3,Healthcare Representative,3,Married,9824,3,3
Yes,4/1/2021,34,Travel_Frequently,23,2,Female,3,3,Human Resources,1,Divorced,9950,9,3
No,1/7/2020,42,Travel_Frequently,5,2,Male,3,1,Laboratory Technician,3,Married,2093,4,3
No,10/8/2020,36,Non-Travel,10,2,Male,3,3,Sales Executive,4,Single,9980,1,3
Yes,9/24/2019,22,Travel_Frequently,4,3,Male,2,1,Laboratory Technician,3,Single,3894,5,3
No,1/21/2019,48,Travel_Rarely,2,2,Female,3,2,Sales Executive,4,Married,4051,2,3
No,7/3/2021,55,Travel_Rarely,18,1,Female,3,4,Manager,2,Single,16835,3,4
No,8/13/2021,41,Non-Travel,10,4,Male,3,2,Sales Executive,4,Single,6230,7,3
No,11/21/2021,35,Travel_Rarely,1,2,Male,3,2,Sales Executive,3,Married,4717,9,3
No,11/1/2021,40,Travel_Rarely,6,2,Female,3,4,Manufacturing Director,3,Single,13237,7,3
No,3/29/2021,39,Travel_Frequently,8,3,Female,3,1,Laboratory Technician,3,Married,3755,1,3
No,4/20/2019,31,Travel_Rarely,2,2,Male,3,2,Sales Executive,4,Single,6582,4,3
No,12/29/2019,42,Travel_Rarely,24,4,Male,3,3,Manufacturing Director,1,Married,7406,1,4
No,9/17/2020,45,Travel_Rarely,2,4,Male,3,2,Sales Executive,2,Married,4805,0,3
Yes,10/22/2020,26,Travel_Frequently,17,2,Female,3,1,Human Resources,3,Divorced,2741,0,3
No,7/20/2021,29,Travel_Rarely,19,4,Male,3,2,Manufacturing Director,4,Divorced,4262,4,3
No,11/1/2020,33,Travel_Rarely,1,1,Female,4,4,Research Director,3,Divorced,16184,4,3
No,10/21/2020,31,Travel_Rarely,7,3,Male,2,3,Manager,4,Divorced,11557,9,4
Yes,12/27/2019,18,Travel_Frequently,5,2,Male,3,1,Sales Representative,2,Single,1878,1,3
No,4/3/2021,40,Non-Travel,28,3,Male,1,3,Sales Executive,1,Divorced,10932,3,3
No,12/18/2020,41,Non-Travel,2,1,Female,2,2,Healthcare Representative,3,Single,6811,2,3
No,3/16/2020,26,Travel_Rarely,29,1,Male,3,2,Sales Executive,3,Divorced,4306,5,3
No,12/24/2019,35,Travel_Rarely,1,1,Female,3,2,Sales Executive,3,Single,4859,1,3
No,8/4/2021,34,Travel_Rarely,21,4,Male,4,2,Sales Executive,4,Single,5337,1,3
Yes,7/22/2019,26,Travel_Rarely,24,3,Male,1,1,Laboratory Technician,4,Single,2340,1,3
No,8/7/2020,37,Travel_Rarely,1,2,Female,3,3,Manufacturing Director,4,Single,7491,4,3
No,5/9/2020,46,Travel_Frequently,18,1,Female,3,3,Healthcare Representative,3,Married,10527,5,3
No,1/7/2020,41,Travel_Rarely,2,2,Female,3,4,Manager,1,Married,16595,7,3
No,12/27/2020,37,Non-Travel,9,1,Male,3,3,Sales Executive,2,Divorced,8834,1,3
No,12/31/2020,52,Travel_Rarely,6,4,Male,3,2,Research Scientist,1,Divorced,5577,3,3
Yes,11/27/2019,32,Non-Travel,11,4,Male,4,2,Sales Executive,3,Married,4707,8,3
No,6/26/2020,24,Travel_Frequently,24,4,Male,3,1,Sales Representative,4,Married,2400,0,3
No,11/26/2020,38,Travel_Rarely,10,3,Female,3,2,Healthcare Representative,3,Married,9824,3,3
No,11/12/2021,37,Travel_Rarely,1,2,Female,3,2,Manufacturing Director,2,Married,6447,6,3
No,11/16/2019,49,Travel_Rarely,18,4,Male,2,5,Research Director,3,Divorced,19502,1,3
No,5/6/2019,24,Travel_Rarely,23,2,Male,4,1,Research Scientist,4,Married,2725,1,3
No,2/10/2020,26,Travel_Rarely,28,1,Male,3,2,Sales Executive,2,Married,6272,1,4
No,6/16/2021,24,Travel_Rarely,17,4,Male,2,1,Laboratory Technician,2,Married,2127,1,4
No,8/31/2021,50,Travel_Frequently,3,1,Male,3,5,Manager,2,Married,18200,1,3
No,2/22/2021,25,Travel_Rarely,13,2,Male,3,1,Sales Representative,3,Married,2096,1,3
Yes,12/13/2021,24,Travel_Frequently,7,1,Female,3,1,Laboratory Technician,3,Married,2886,1,3
Yes,2/21/2020,30,Travel_Frequently,12,2,Male,2,1,Sales Representative,1,Married,2033,1,3
No,4/3/2021,34,Travel_Rarely,1,2,Male,2,1,Research Scientist,4,Married,3622,1,3
Yes,5/31/2019,31,Travel_Rarely,13,2,Male,3,2,Sales Executive,1,Divorced,4233,2,3
No,5/24/2019,35,Travel_Rarely,25,1,Male,2,2,Laboratory Technician,4,Single,3681,4,3
No,6/9/2021,31,Travel_Rarely,6,1,Male,4,2,Sales Executive,4,Divorced,5460,4,4
No,2/14/2019,27,Travel_Rarely,6,1,Female,2,1,Research Scientist,3,Divorced,2187,0,3
No,2/22/2020,37,Travel_Rarely,2,4,Male,3,2,Sales Executive,3,Married,9602,4,3
No,8/14/2019,20,Travel_Rarely,1,4,Female,2,1,Research Scientist,2,Single,2836,1,3
No,8/7/2020,42,Travel_Rarely,2,3,Female,3,2,Healthcare Representative,4,Married,4089,1,3
No,9/5/2020,43,Travel_Rarely,6,2,Male,2,4,Research Director,4,Divorced,16627,4,3
No,8/4/2019,38,Travel_Rarely,1,3,Female,3,1,Research Scientist,1,Single,2619,3,3
No,7/18/2019,43,Travel_Frequently,9,4,Male,3,2,Laboratory Technician,3,Divorced,5679,3,3
No,1/10/2020,48,Travel_Rarely,1,4,Female,2,4,Manager,1,Married,15402,7,3
No,9/7/2020,44,Travel_Rarely,1,1,Female,2,2,Human Resources,3,Single,5985,4,3
No,11/1/2020,34,Travel_Rarely,14,3,Female,3,1,Sales Representative,3,Divorced,2579,1,3
Yes,1/21/2019,27,Travel_Rarely,2,3,Male,3,1,Sales Representative,1,Divorced,3041,0,3
No,10/24/2020,21,Travel_Rarely,22,3,Male,3,1,Sales Representative,3,Single,3447,1,3
No,10/23/2019,44,Travel_Rarely,3,4,Male,3,5,Manager,4,Married,19513,4,3
No,4/6/2021,22,Travel_Rarely,6,1,Male,3,1,Research Scientist,3,Married,2773,0,4
No,5/29/2020,33,Travel_Rarely,8,3,Male,3,2,Sales Executive,3,Divorced,7104,0,3
No,11/2/2020,32,Travel_Rarely,9,1,Female,3,2,Research Scientist,4,Married,6322,1,3
No,4/16/2020,30,Travel_Frequently,3,3,Female,3,1,Research Scientist,3,Divorced,2083,1,4
No,3/18/2019,53,Travel_Rarely,1,4,Female,3,2,Sales Executive,1,Single,8381,7,4
No,9/14/2020,34,Travel_Rarely,1,2,Male,3,1,Research Scientist,4,Married,2691,1,3
Yes,1/21/2019,45,Travel_Frequently,26,1,Female,3,2,Sales Executive,1,Married,4286,2,3
No,1/6/2019,26,Travel_Rarely,6,3,Female,3,1,Laboratory Technician,4,Married,2659,1,3
No,5/20/2020,37,Travel_Rarely,3,3,Male,3,3,Manufacturing Director,3,Married,9434,1,3
No,5/22/2019,29,Travel_Rarely,3,2,Female,3,2,Sales Executive,3,Married,5561,1,3
No,12/1/2020,35,Travel_Rarely,6,2,Male,1,2,Research Scientist,4,Single,6646,1,3
No,12/24/2020,33,Travel_Frequently,6,3,Male,3,2,Healthcare Representative,4,Divorced,7725,3,4
No,8/7/2021,54,Travel_Rarely,19,3,Male,3,3,Human Resources,2,Married,10725,2,3
No,11/26/2021,36,Travel_Rarely,9,2,Male,2,2,Manufacturing Director,2,Divorced,8847,2,3
No,10/11/2020,27,Travel_Rarely,3,1,Male,2,1,Research Scientist,4,Single,2045,0,3
Yes,7/6/2021,20,Travel_Rarely,10,4,Male,3,1,Research Scientist,3,Single,1009,1,3
Yes,8/8/2021,33,Travel_Frequently,3,1,Male,3,1,Research Scientist,1,Single,3348,1,3
No,11/3/2019,35,Non-Travel,3,3,Male,2,1,Laboratory Technician,3,Married,1281,1,3
No,2/25/2020,23,Travel_Rarely,4,1,Male,4,1,Research Scientist,1,Married,2819,2,3
No,9/27/2020,25,Travel_Rarely,8,4,Male,4,2,Sales Executive,2,Married,4851,0,4
No,12/19/2019,38,Travel_Rarely,7,4,Female,2,2,Sales Executive,4,Single,4028,0,4
No,3/5/2021,29,Travel_Frequently,1,2,Male,1,1,Research Scientist,4,Divorced,2720,1,3
No,10/19/2020,48,Travel_Rarely,2,2,Male,4,2,Sales Executive,2,Married,8120,3,3
No,2/4/2020,27,Travel_Frequently,3,4,Female,4,2,Sales Executive,4,Divorced,4647,1,4
No,11/22/2019,37,Travel_Rarely,10,4,Male,4,1,Research Scientist,4,Single,4680,3,3
No,11/5/2019,50,Travel_Rarely,28,4,Male,4,1,Laboratory Technician,3,Married,3221,1,3
No,8/25/2021,34,Travel_Rarely,9,4,Female,2,3,Healthcare Representative,2,Single,8621,1,3
Yes,5/18/2020,24,Travel_Rarely,3,1,Female,3,2,Sales Executive,3,Single,4577,9,3
No,5/8/2019,39,Travel_Rarely,2,4,Female,2,2,Healthcare Representative,3,Single,4553,1,3
No,10/4/2019,32,Travel_Rarely,10,4,Male,3,2,Sales Executive,4,Single,5396,1,3
Yes,6/6/2020,50,Travel_Frequently,8,2,Male,3,2,Sales Executive,3,Married,6796,3,3
No,1/31/2021,38,Travel_Rarely,1,2,Female,4,2,Healthcare Representative,4,Single,7625,0,3
No,5/17/2020,27,Travel_Rarely,1,3,Female,3,3,Manufacturing Director,1,Married,7412,1,3
No,2/15/2019,32,Travel_Rarely,3,3,Female,3,3,Research Director,4,Single,11159,3,3
No,12/4/2020,47,Travel_Rarely,14,4,Male,3,2,Sales Executive,1,Single,4960,2,3
No,2/12/2020,40,Travel_Frequently,5,4,Male,2,3,Sales Executive,1,Married,10475,5,4
No,9/3/2020,53,Travel_Rarely,7,3,Male,4,4,Research Director,3,Married,14814,3,3
No,7/22/2020,41,Travel_Rarely,10,2,Male,2,5,Manager,4,Divorced,19141,3,3
No,5/10/2020,60,Travel_Rarely,16,1,Male,3,2,Sales Executive,1,Single,5405,8,3
No,2/11/2019,27,Travel_Frequently,10,4,Male,3,3,Manufacturing Director,1,Divorced,8793,1,4
No,10/14/2021,41,Travel_Rarely,1,4,Male,2,5,Manager,3,Married,19189,1,3
No,2/8/2020,50,Travel_Rarely,8,4,Male,3,1,Sales Representative,2,Married,3875,7,3
Yes,3/14/2020,28,Travel_Rarely,1,1,Female,1,1,Research Scientist,2,Single,2216,7,3
No,5/29/2021,36,Non-Travel,8,1,Female,4,3,Research Director,1,Married,11713,9,3
