Id,Model,Age_08_04,Mfg_Month,Mfg_Year,KM,Fuel_Type,HP,Met_Color,Color,Automatic,CC,Doors,Cylinders,Gears,Quarterly_Tax,Weight,Mfr_Guarantee,BOVAG_Guarantee,Guarantee_Period,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Radio_cassette,Parking_Assistant,Tow_Bar,High_Price
317,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,41,4,2001,37533,Petrol,110,1,Green,0,1600,5,4,5,85,1075,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,Yes
318,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,44,1,2001,37389,Petrol,110,1,Black,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,Yes
319,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,38,7,2001,37320,Petrol,97,1,Blue,0,1400,3,4,5,69,1025,0,1,3,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,No
320,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,42,3,2001,37000,Petrol,97,1,Green,0,1400,3,4,5,69,1025,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,No
321,TOYOTA Corolla 1.6 SDN LINEA TERRA 4/5-Doors,44,1,2001,37000,Petrol,110,0,Green,0,1600,4,4,5,19,1075,0,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Yes
322,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,40,5,2001,36566,Petrol,110,0,Red,0,1600,5,4,5,85,1090,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,Yes
323,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,36,9,2001,36269,Petrol,110,1,Blue,0,1600,5,4,5,85,1075,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,No
324,TOYOTA Corolla 1.6 VVTi Linea terra 4/5-Doors,37,8,2001,36074,Petrol,110,1,Silver,1,1600,5,4,5,19,1075,0,1,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,Yes
325,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,44,1,2001,36066,Petrol,110,1,Black,0,1600,3,4,5,69,1040,1,1,3,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,No
326,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,39,6,2001,34599,Petrol,110,1,Grey,0,1600,5,4,5,85,1075,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,Yes
327,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,41,4,2001,34000,Petrol,110,1,Red,0,1600,5,4,5,85,1075,0,1,3,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,Yes
328,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,42,3,2001,33623,Petrol,97,1,Grey,0,1400,3,4,5,69,1025,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,No
329,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,33,12,2001,33591,Petrol,110,1,Red,0,1600,5,4,5,85,1075,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,Yes
330,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,35,10,2001,33258,Petrol,110,1,Grey,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,Yes
331,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,43,2,2001,33113,Petrol,110,1,Red,0,1600,5,4,5,85,1075,1,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,No
332,TOYOTA Corolla 1.6v VVT-i Linea Sol 4/5-Doors,41,4,2001,33000,Petrol,110,1,Silver,1,1600,5,4,6,19,1075,0,0,3,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,No
333, TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,35,10,2001,32941,Petrol,110,1,Yellow,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,Yes
334,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,38,7,2001,32781,Petrol,110,0,Blue,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,Yes
335,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,40,5,2001,32532,Petrol,110,1,Black,0,1600,3,4,5,69,1040,1,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,No
336,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,34,11,2001,32431,Petrol,97,1,Silver,0,1400,5,4,5,85,1060,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,Yes
337,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,35,10,2001,32000,Petrol,110,0,Black,0,1600,3,4,5,69,1040,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Yes
339,TOYOTA Corolla 1.6I LIFTBACK 4/5-Doors,33,12,2001,31000,Petrol,110,1,Silver,0,1600,5,4,5,19,1075,0,1,6,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,Yes
340,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,41,4,2001,30989,Petrol,110,0,Green,0,1600,3,4,5,69,1045,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,Yes
341,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,43,2,2001,30742,Petrol,110,1,Silver,0,1600,3,4,5,69,1040,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,Yes
342,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,42,3,2001,30190,Petrol,110,1,Red,0,1600,5,4,5,85,1075,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,Yes
343,TOYOTA Corolla Liftback 1.6 VVTI 4/5-Doors,41,4,2001,29716,Petrol,116,1,Grey,0,1600,5,4,5,85,1075,0,1,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,No
344,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,44,1,2001,29716,Petrol,110,1,Silver,1,1600,3,4,5,85,1070,1,1,3,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,Yes
345,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,42,3,2001,29640,Petrol,110,0,Red,0,1600,3,4,5,85,1055,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,Yes
346, TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,41,4,2001,29056,Petrol,97,1,Grey,0,1400,5,4,5,85,1060,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,Yes
347,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,33,12,2001,28715,Petrol,110,1,Grey,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,Yes
348, TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,41,4,2001,28571,Petrol,110,0,Red,0,1600,5,4,5,85,1090,1,1,3,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,Yes
349,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,40,5,2001,28362,Petrol,110,1,Blue,0,1600,3,4,5,69,1040,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,Yes
350,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,38,7,2001,28150,Petrol,110,1,Red,0,1600,5,4,5,85,1075,0,1,3,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,Yes
351,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,43,2,2001,27301,Petrol,110,1,Grey,0,1600,3,4,5,69,1040,1,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,Yes
352, TOYOTA Corolla 1.6 Terra LB Comf. 4/5-Doors,33,12,2001,27240,Petrol,110,1,Blue,0,1600,5,4,5,85,1075,0,0,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,Yes
353,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,39,6,2001,27170,Petrol,97,1,Yellow,0,1400,5,4,5,85,1060,1,1,3,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,No
354, TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,42,3,2001,27141,Petrol,97,1,Green,0,1400,5,4,5,85,1060,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,No
355,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,38,7,2001,26262,Petrol,110,1,Grey,0,1600,5,4,5,85,1075,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,Yes
356,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,38,7,2001,26000,Petrol,97,1,Grey,0,1400,5,4,5,85,1060,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,Yes
357,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,43,2,2001,25228,Petrol,110,1,Blue,0,1600,3,4,5,69,1045,1,1,3,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,Yes
358, TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,39,6,2001,25062,Petrol,110,1,Green,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,Yes
359,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA AUT4 4/5-Doors,39,6,2001,24723,Petrol,110,1,Green,1,1600,4,4,5,85,1060,1,1,3,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,Yes
360,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,33,12,2001,24650,Petrol,110,1,Black,0,1600,3,4,5,85,1055,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,Yes
361, TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,43,2,2001,24553,Petrol,110,1,Green,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,Yes
362, TOYOTA Corolla 1.6 VVTi Terra Comfort 4/5-Doors,41,4,2001,24475,Petrol,110,1,Red,0,1600,5,4,5,69,1030,0,1,12,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Yes
363,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,39,6,2001,24444,Petrol,110,1,Blue,0,1600,3,4,5,69,1040,1,1,3,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,Yes
364,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,35,10,2001,24011,Petrol,97,0,Grey,0,1400,3,4,5,69,1025,1,1,3,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,No
365,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,41,4,2001,24000,Petrol,97,1,Grey,0,1400,3,4,5,69,1025,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,Yes
366,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,40,5,2001,23616,Petrol,110,1,Green,0,1600,5,4,5,85,1075,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,Yes
367,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,38,7,2001,22865,Petrol,110,1,Silver,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,Yes
368,TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,41,4,2001,22780,Petrol,86,1,Green,0,1300,5,4,5,69,1035,1,1,3,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,No
369,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,35,10,2001,21904,Petrol,97,0,Blue,0,1400,3,4,5,69,1025,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,No
370,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,41,4,2001,21651,Petrol,97,0,Green,0,1400,3,4,5,69,1025,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Yes
371,TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 4/5-Doors,37,8,2001,21500,Petrol,110,1,Red,0,1600,5,4,5,69,1030,1,0,12,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,No
372, TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,44,1,2001,21027,Petrol,110,1,Green,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,Yes
373,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,39,6,2001,18500,Petrol,110,0,Red,0,1600,4,4,5,69,1030,0,0,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,No
374,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,35,10,2001,18000,Petrol,110,1,Green,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,Yes
375,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,40,5,2001,17051,Petrol,97,0,Grey,0,1400,5,4,5,85,1060,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Yes
376,TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,33,12,2001,16512,Petrol,97,1,Grey,0,1400,5,4,5,19,1085,0,1,3,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,Yes
377,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,40,5,2001,16325,Petrol,110,1,Silver,0,1600,5,4,5,85,1080,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,Yes
378,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,38,7,2001,16000,Petrol,97,1,Grey,0,1400,5,4,5,85,1060,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,No
379,TOYOTA Corolla 1.6 Linea Terra LB 4/5-Doors,39,6,2001,12000,Petrol,110,1,Green,0,1600,5,4,5,85,1075,0,0,12,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No
380,TOYOTA Corolla 1.4 VVTI LB 4/5-Doors,43,2,2001,10000,Petrol,97,1,Blue,0,1400,5,4,5,85,1060,0,0,6,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,Yes
381, TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,53,4,2000,216000,Diesel,69,0,White,0,1900,3,4,5,185,1110,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,No
382,TOYOTA Corolla 1.9 D SEDAN TERRA 4/5-Doors,51,6,2000,198167,Diesel,69,0,Red,0,1900,4,4,5,185,1095,0,1,3,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,No
383,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,53,4,2000,176000,Diesel,69,0,Blue,0,1900,3,4,5,185,1105,0,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,No
384,TOYOTA Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,54,3,2000,174139,Diesel,72,1,Blue,0,2000,4,4,5,185,1100,0,1,3,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,No
385,TOYOTA Corolla 1.9 D Sedan 4/5-Doors,45,12,2000,174000,Diesel,69,1,Silver,0,1900,5,4,5,185,1095,0,0,6,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,No
386,TOYOTA Corolla 1.6 VVTi Linea terra 2/3-Doors,55,2,2000,150000,CNG,110,1,Blue,0,1600,3,4,5,72,1075,0,0,6,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,No
387,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,54,3,2000,149329,Diesel,72,1,Red,0,2000,5,4,5,185,1135,0,1,3,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,No
388,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,51,6,2000,146736,Petrol,110,1,Silver,0,1600,5,4,5,85,1080,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,No
389,TOYOTA Corolla 1.9 D LIFTB LUNA 4/5-Doors,53,4,2000,143513,Diesel,69,0,Grey,0,1900,5,4,5,185,1140,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
390,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,48,9,2000,142130,CNG,110,0,Red,0,1600,5,4,5,197,1119,0,1,3,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,No
391,TOYOTA Corolla 1.9 D WGN LINEA TERRA Stationwagen,48,9,2000,140700,Diesel,69,1,Grey,0,1900,5,4,5,64,1110,0,1,3,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,No
392, TOYOTA Corolla 1.9 D SEDAN TERRA 4/5-Doors,54,3,2000,138394,Diesel,69,1,Silver,0,1900,4,4,5,185,1095,0,1,3,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,No
393,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,55,2,2000,137000,Diesel,72,1,Blue,0,2000,5,4,5,185,1135,0,0,3,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,No
394,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,52,5,2000,135258,Diesel,69,1,Grey,0,1900,5,4,5,185,1140,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,No
395,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,49,8,2000,131364,Petrol,110,1,Black,0,1600,5,4,5,85,1075,0,1,3,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,No
396,TOYOTA Corolla 1.8D Stationwagen,56,1,2000,129155,Diesel,69,0,White,0,1800,5,4,5,64,1110,0,0,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,No
397, TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,50,7,2000,126110,Petrol,110,0,Black,0,1600,3,4,5,85,1055,0,1,3,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,No
398,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,48,9,2000,119742,Petrol,110,1,Blue,0,1600,5,4,5,85,1080,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,No
399,TOYOTA Corolla 1.9 D LB LINEA SOL 4/5-Doors,53,4,2000,117913,Diesel,69,1,Blue,0,1900,5,4,5,64,1110,0,1,3,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,No
400,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,47,10,2000,117430,Diesel,90,1,Blue,0,2000,3,4,5,210,1165,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,Yes
401,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,55,2,2000,117175,Petrol,110,1,Green,0,1600,4,4,5,69,1035,1,1,3,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,No
402,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,54,3,2000,115558,Petrol,110,1,Blue,0,1600,4,4,5,69,1035,1,1,3,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,No
403,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,53,4,2000,115113,Petrol,97,1,Grey,0,1400,3,4,5,69,1025,1,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,No
404,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,54,3,2000,115046,Diesel,69,1,Blue,0,1900,5,4,5,185,1140,0,1,3,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,No
405,TOYOTA Corolla 2.0D 4/5-Doors,56,1,2000,113997,Diesel,72,1,Green,0,2000,5,4,5,64,1135,0,0,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,No
406,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,49,8,2000,107859,Petrol,97,0,Blue,0,1400,5,4,5,85,1060,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,No
407,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,52,5,2000,104805,Petrol,97,1,Black,0,1400,3,4,5,69,1025,1,1,3,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,No
408,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,54,3,2000,103454,Petrol,110,1,Green,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,No
409,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,51,6,2000,103018,Diesel,69,0,White,0,1900,5,4,5,185,1140,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,No
410,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,47,10,2000,102352,Petrol,110,1,Red,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,No
411,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,50,7,2000,102030,Petrol,97,1,Green,0,1400,5,4,5,85,1060,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,No
412,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,54,3,2000,101352,Petrol,110,0,Red,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,Yes
413,TOYOTA Corolla 1.6 16v TERRA 4/5-Doors,50,7,2000,99865,Petrol,110,1,Red,0,1600,4,4,5,69,1035,0,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No
414, TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,52,5,2000,99323,Petrol,110,1,Black,0,1600,3,4,5,85,1055,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,No
415,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,48,9,2000,98100,Diesel,69,1,Grey,0,1900,5,4,5,185,1140,0,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,No
416, TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,51,6,2000,98040,Petrol,110,0,Grey,0,1600,5,4,5,85,1080,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Yes
417,TOYOTA Corolla 1.6 HB SOL 2/3-Doors,49,8,2000,97600,Petrol,110,1,Silver,0,1600,3,4,5,69,1045,0,1,6,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,No
418, TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,55,2,2000,97234,Petrol,110,0,Blue,0,1600,5,4,5,85,1080,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,No
419, TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,51,6,2000,96135,Diesel,72,0,Black,0,2000,3,4,5,185,1115,0,1,3,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,No
420,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,54,3,2000,96100,Petrol,110,1,Green,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,No
421, TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,55,2,2000,94401,Diesel,72,0,Red,0,2000,3,4,5,185,1115,0,1,3,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,No
422, TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,55,2,2000,94122,Petrol,86,1,Blue,0,1300,3,4,5,69,1015,0,1,3,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,No
423,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,49,8,2000,91340,Petrol,110,1,Blue,0,1600,3,4,5,85,1055,1,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,No
424,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,53,4,2000,90200,Petrol,97,0,White,0,1400,3,4,5,69,1025,0,1,3,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,No
425,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,53,4,2000,90097,Diesel,69,1,Red,0,1900,5,4,5,185,1140,1,1,3,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,No
426, TOYOTA Corolla LIFTBACK 1.4 VVT-i LINEA TERRA 4/5-Doors,48,9,2000,89049,Petrol,97,1,Black,0,1400,5,4,5,85,1060,0,1,12,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,No
427, TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,52,5,2000,89000,Petrol,110,0,Grey,0,1600,5,4,5,85,1075,0,0,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,No
428, TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,45,12,2000,87274,Petrol,110,1,Grey,0,1600,3,4,5,69,1040,1,1,3,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,No
429, TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,49,8,2000,86221,Petrol,110,0,Grey,0,1600,3,4,5,69,1045,1,1,3,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,No
